Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Fallwoba
70.2,1,0.15,21.3,83,0.31,4.39,70.2,0.46,-27,0.278
70.3,1,0.15,21.6,81,0.29,4.23,70.3,0.45,-34,0.278
66.2,1,0.15,20,80,0.30,3.8,66.2,0.47,-30,0.278
64.9,6,0.16,18.9,82,0.31,3.55,64.9,0.48,-19,0.278
68.4,2,0.15,20,84,0.33,4.22,68.4,0.46,-31,0.278
67.2,7,0.16,19.5,85,0.31,3.81,67.2,0.48,-26,0.278
70.4,5,0.16,20.7,88,0.33,4.19,70.4,0.46,-30,0.278
68,1,0.14,19.9,86,0.42,4.23,68,0.48,-28,0.278
64.8,8,0.17,18,79,0.31,3.33,64.8,0.46,-21,0.278
68.8,3,0.16,18.6,91,0.55,3.8,68.8,0.45,-26,0.278
64.1,3,0.16,19.4,69,0.12,3.3,64.1,0.44,-4,0.278
68.4,2,0.17,20.6,66,0.13,3.58,68.4,0.39,-16,0.278
65,9,0.17,18.9,67,0.08,3.19,65,0.41,-8,0.278
64,3,0.16,18.9,69,0.11,3.41,64,0.42,-4,0.278
68.3,6,0.16,20.1,83,0.11,3.89,68.3,0.46,-7,0.278
72.1,2,0.15,22.8,68,0.10,4.45,72.1,0.32,-13,0.278
69.3,6,0.16,20.2,73,0.12,4.01,69.3,0.37,-9,0.278
66.1,1,0.16,18.8,73,0.17,3.69,66.1,0.44,-14,0.278
71.5,5,0.15,21,77,0.18,4.44,71.5,0.42,-15,0.278
64,8,0.16,18.7,77,0.10,3.41,64.1,0.45,-15,0.278
68.2,13,0.17,21.1,79,0.33,3.69,68.2,0.53,-12,0.278
63.9,7,0.15,20.6,78,0.40,3.63,63.9,0.54,-22,0.278
68,9,0.16,21.4,78,0.35,3.9,68,0.56,-24,0.278
64.3,10,0.16,19.7,76,0.30,3.49,64.3,0.52,-22,0.278
67.8,13,0.15,22.3,80,0.34,3.94,67.8,0.54,-17,0.278
72.3,10,0.16,21.4,90,0.40,4.2,72.3,0.49,-27,0.278
37.7,12,0.16,21.8,43,0.47,1.17,70.5,0.52,-19,0.278
67.7,11,0.16,20.6,85,0.38,3.73,67.7,0.51,-21,0.278
63.8,9,0.16,20,81,0.32,3.43,63.8,0.49,-31,0.278
73.1,3,0.15,24,88,0.51,4.57,73.1,0.51,-34,0.278
67,8,0.15,23.4,85,0.49,3.93,67,0.41,-45,0.278
67,8,0.16,20.8,89,0.47,3.73,67,0.46,-32,0.278
67.8,7,0.15,20.6,92,0.50,3.87,67.8,0.47,-31,0.278
68.7,4,0.15,21.6,90,0.54,4.02,68.7,0.43,-35,0.278
70.4,0,0.15,20.7,94,0.61,4.4,70.4,0.46,-32,0.278
68.4,5,0.15,20.6,99,0.60,4.04,68.4,0.48,-27,0.278
68.3,10,0.15,20.2,96,0.56,3.98,68.3,0.46,-34,0.278
64.7,6,0.15,20.7,88,0.55,3.57,64.7,0.44,-40,0.278
69.6,9,0.16,20.2,95,0.52,4.03,69.6,0.47,-37,0.278
64,8,0.15,19.9,88,0.51,3.49,64,0.46,-31,0.278
68.7,10,0.15,20.5,100,0.61,4.08,68.7,0.48,-30,0.278
65,10,0.15,18.9,87,0.45,3.56,65,0.47,-29,0.278
69.6,8,0.15,20.8,94,0.51,4.18,69.6,0.49,-34,0.278
69.1,10,0.16,19.7,92,0.48,3.97,69.1,0.46,-30,0.278
67.8,9,0.15,19.8,89,0.48,3.97,67.8,0.51,-34,0.278
71.9,5,0.15,21.3,94,0.52,4.36,71.9,0.45,-37,0.278
67.8,5,0.15,21.4,81,0.43,3.86,67.8,0.40,-36,0.278
62.3,0,0.15,20.4,76,0.58,3.3,62.3,0.41,-34,0.278
66,3,0.14,20.4,95,0.74,3.92,66,0.49,-35,0.278
63.5,9,0.16,19.7,76,0.38,3.26,63.5,0.43,-36,0.278
65.4,14,0.17,19.6,73,0.19,3.27,65.4,0.44,-31,0.314
63.9,8,0.17,19.9,78,0.29,3.24,63.9,0.50,-35,0.314
58.3,-9,0.14,21,68,0.27,3.11,58.4,0.48,-41,0.314
62.9,7,0.16,20,80,0.34,3.3,62.9,0.48,-36,0.314
64.9,8,0.16,20.9,82,0.37,3.47,64.9,0.50,-37,0.314
66.1,9,0.16,19.4,85,0.42,3.51,66.1,0.48,-34,0.314
66.1,4,0.16,20.9,82,0.47,3.6,66.1,0.43,-45,0.314
65.4,13,0.17,20.7,76,0.32,3.27,65.4,0.43,-37,0.314
70.2,10,0.16,20.5,90,0.40,3.96,70.2,0.46,-37,0.314
65.8,12,0.17,20.1,82,0.39,3.35,65.8,0.46,-33,0.314
71.2,12,0.16,21.2,74,0.16,4.23,71.2,0.38,-14,0.314
70.6,14,0.17,20.5,71,0.15,3.86,70.6,0.36,-12,0.314
70.3,8,0.16,21.1,74,0.22,4.07,70.3,0.37,-20,0.314
69.1,15,0.15,22,80,0.14,4.08,69.1,0.43,-26,0.314
71.5,15,0.17,20.7,80,0.19,4.06,71.5,0.44,-33,0.314
69.7,17,0.16,20.1,81,0.23,3.91,69.7,0.45,-34,0.314
68.2,15,0.15,21.6,83,0.13,3.98,68.2,0.45,-21,0.314
66,11,0.16,20,72,0.12,3.54,66,0.41,-22,0.314
65.3,13,0.16,20.1,78,0.10,3.6,65.3,0.45,-28,0.314
65.3,5,0.15,19.3,73,0.18,3.65,65.3,0.43,-27,0.314
71.3,10,0.16,22.1,74,0.26,4.13,71.3,0.35,-26,0.314
72.3,11,0.16,20.6,73,0.20,4.3,72.3,0.36,-19,0.314
73.3,13,0.17,21.5,75,0.25,4.16,73.3,0.36,-16,0.314
69,13,0.17,18.7,71,0.21,3.69,69,0.38,-15,0.314
71.5,7,0.15,21.4,89,0.37,4.37,71.5,0.47,-39,0.314
73.3,12,0.16,21.6,80,0.27,4.36,73.3,0.42,-27,0.314
73,11,0.16,20.4,82,0.25,4.33,73,0.44,-27,0.314
70.2,13,0.16,21.5,84,0.21,3.96,70.2,0.45,-26,0.314
67.4,14,0.15,21.4,78,0.19,3.89,67.4,0.43,-20,0.314
65.9,12,0.16,19.7,75,0.18,3.58,65.9,0.43,-22,0.314
68.3,9,0.16,21.2,90,0.47,3.79,68.3,0.48,-30,0.314
69.3,9,0.16,20.7,88,0.39,3.86,69.3,0.50,-28,0.314
65.5,6,0.16,20.1,74,0.32,3.53,65.5,0.54,-30,0.314
44,1,0.18,19.4,43,0.50,1.43,62,0.43,-27,0.314
69.4,12,0.17,20.7,89,0.43,3.82,69.4,0.48,-33,0.314
70.3,10,0.16,21.2,93,0.49,4.07,70.3,0.47,-37,0.314
66,9,0.17,19.6,85,0.46,3.45,66,0.49,-27,0.314
70.8,14,0.16,21,92,0.48,4.13,70.8,0.50,-40,0.314
69.5,10,0.16,21.1,92,0.49,4.03,69.5,0.51,-35,0.314
68.2,8,0.16,21,91,0.50,3.83,68.2,0.49,-36,0.314
65.9,16,0.17,20.1,78,0.30,3.41,65.9,0.48,-33,0.314
62.2,16,0.18,19.3,66,0.33,2.86,62.2,0.42,-29,0.314
66.4,14,0.17,19.7,82,0.42,3.33,66.4,0.47,-28,0.314
65,11,0.17,20.6,78,0.31,3.31,65,0.45,-40,0.314
66.2,14,0.17,19.1,81,0.35,3.36,66.2,0.48,-42,0.314
69.7,14,0.18,20,85,0.37,3.63,69.7,0.46,-32,0.314
69.2,7,0.16,20.7,89,0.41,3.89,69.2,0.49,-43,0.314
67.3,8,0.17,19.8,82,0.29,3.6,67.3,0.47,-31,0.314
69,18,0.18,19.4,78,0.31,3.57,69,0.47,-21,0.314
62.4,7,0.17,20.1,73,0.33,3.09,62.4,0.44,-33,0.314
66.3,8,0.16,22.3,79,0.47,3.61,66.3,0.41,-46,0.273
67.8,7,0.15,22.9,91,0.62,3.87,67.8,0.42,-46,0.273
65.8,8,0.15,22.7,88,0.63,3.79,65.8,0.40,-42,0.273
63.2,5,0.15,21.9,84,0.57,3.45,63.2,0.42,-46,0.273
66,9,0.15,22.8,83,0.52,3.81,66,0.40,-48,0.273
67.8,5,0.14,21.6,98,0.60,4.14,67.8,0.46,-44,0.273
64.9,7,0.15,22.6,94,0.62,3.64,64.9,0.45,-46,0.273
64.1,6,0.14,22.2,90,0.63,3.69,64.1,0.43,-39,0.273
66.6,7,0.15,21.8,99,0.62,3.94,66.6,0.46,-39,0.273
63.5,15,0.16,22,80,0.51,3.35,63.5,0.42,-34,0.273
71.3,5,0.15,24.2,94,0.60,4.46,71.3,0.43,-42,0.273
70.5,2,0.15,24.2,88,0.62,4.41,70.5,0.41,-48,0.273
66,7,0.15,23.7,87,0.58,3.77,66,0.40,-47,0.273
68.6,10,0.15,23.9,89,0.59,3.96,68.6,0.40,-39,0.273
69.6,7,0.15,23.4,91,0.53,4.18,69.6,0.43,-45,0.273
67.3,3,0.15,23.3,90,0.60,3.91,67.3,0.42,-46,0.273
71.5,10,0.15,22.5,89,0.50,4.3,71.5,0.43,-39,0.273
62.9,10,0.16,21,81,0.54,3.28,62.9,0.42,-37,0.273
66.4,13,0.15,22.9,83,0.53,3.75,66.4,0.40,-46,0.273
64.8,10,0.15,21.6,88,0.63,3.63,65.2,0.42,-41,0.273
71.7,4,0.14,23.5,91,0.58,4.63,71.7,0.42,-41,0.273
66.6,8,0.15,22.4,94,0.60,3.89,66.6,0.43,-41,0.273
56.4,9,0.15,22.5,79,0.76,2.75,57.8,0.44,-48,0.273
56.9,7,0.15,24,84,0.85,2.87,58.1,0.50,-55,0.273
70.1,4,0.15,22,85,0.65,4.19,70.1,0.35,-38,0.273
70.4,11,0.15,24.4,78,0.40,4.18,70.4,0.32,-31,0.273
71.4,12,0.15,22.9,80,0.33,4.35,71.4,0.40,-37,0.273
71.1,6,0.15,22.7,85,0.48,4.49,71.1,0.41,-31,0.273
67.1,8,0.15,22.7,81,0.40,3.99,67.1,0.39,-43,0.273
70.7,3,0.14,23.9,88,0.57,4.63,70.7,0.41,-46,0.273
72.8,6,0.14,23.7,85,0.53,4.84,72.8,0.37,-31,0.273
69.1,5,0.15,23.6,81,0.43,4.07,69.1,0.39,-46,0.273
67.5,3,0.15,22.9,88,0.72,3.98,67.5,0.40,-41,0.273
68.7,5,0.15,23.4,86,0.55,4.13,68.7,0.39,-37,0.273
69.4,4,0.14,22.7,91,0.56,4.39,69.4,0.43,-39,0.273
64.1,10,0.15,21.6,87,0.57,3.55,64.1,0.43,-35,0.273
62.1,7,0.15,21.9,81,0.48,3.38,62.1,0.44,-40,0.273
66.4,15,0.15,22.2,84,0.52,3.71,66.4,0.42,-39,0.273
65.1,10,0.15,22.5,90,0.65,3.71,65.1,0.42,-48,0.273
65.1,3,0.14,23.7,87,0.70,3.87,65.2,0.41,-53,0.273
65.4,5,0.15,21.1,92,0.66,3.69,65.4,0.44,-39,0.273
63.2,14,0.16,21.4,83,0.62,3.23,63.2,0.42,-43,0.273
61,7,0.16,22,82,0.61,3.09,61,0.42,-42,0.273
68.4,3,0.15,22.9,89,0.53,4.1,68.4,0.44,-36,0.273
69.8,6,0.15,23.6,91,0.64,4.16,69.8,0.40,-41,0.273
67.7,1,0.15,23.7,88,0.60,4.01,67.7,0.41,-46,0.273
72,4,0.15,23.9,90,0.59,4.61,72,0.41,-46,0.273
66.5,9,0.15,23.4,88,0.60,3.82,66.5,0.39,-41,0.273
63.9,-1,0.14,22.1,84,0.59,3.73,63.9,0.42,-41,0.273
65,7,0.15,22.3,81,0.49,3.7,65,0.40,-42,0.273
71.1,9,0.17,24.1,89,0.40,3.84,71.1,0.46,-41,0.303
71.1,9,0.16,24.4,91,0.42,4.03,71.1,0.45,-36,0.303
72.4,5,0.16,25.2,90,0.44,4.29,72.4,0.45,-40,0.303
66.6,0,0.16,24.3,81,0.54,3.62,66.6,0.43,-36,0.303
70,5,0.16,24.8,92,0.48,4,70,0.49,-38,0.303
69.9,5,0.16,25.1,92,0.52,3.94,69.9,0.47,-34,0.303
70.5,12,0.17,23.5,82,0.39,3.81,70.5,0.42,-27,0.303
67.5,4,0.16,23.3,87,0.54,3.73,67.5,0.43,-43,0.303
67,11,0.17,23.3,87,0.51,3.45,67,0.48,-41,0.303
66.7,8,0.16,23.7,92,0.58,3.5,66.7,0.48,-29,0.303
71.4,3,0.15,24.3,87,0.41,4.27,71.4,0.45,-30,0.303
68.8,9,0.16,23,82,0.30,3.77,68.8,0.44,-34,0.303
69.7,7,0.15,22.9,88,0.34,4.02,69.7,0.45,-33,0.303
66.3,4,0.16,23,79,0.36,3.59,66.3,0.44,-30,0.303
76.3,11,0.16,24.2,89,0.33,4.7,76.3,0.45,-28,0.303
75.2,9,0.15,23.7,80,0.40,4.74,75.2,0.38,-27,0.303
69.6,5,0.16,24,80,0.42,3.96,69.6,0.40,-26,0.303
74.4,8,0.16,23.6,78,0.31,4.35,74.4,0.39,-32,0.303
80.3,11,0.15,26.5,79,0.31,5.34,80.3,0.40,-32,0.303
72.9,9,0.17,23.4,77,0.33,4.03,72.9,0.37,-23,0.303
75.2,11,0.16,24.8,87,0.35,4.51,75.2,0.44,-30,0.303
73.2,10,0.16,24.2,83,0.35,4.32,73.2,0.42,-32,0.303
68.7,8,0.16,23.8,85,0.32,3.76,68.7,0.45,-37,0.303
67.8,8,0.16,24,83,0.33,3.57,67.8,0.46,-34,0.303
67.3,7,0.16,23.4,78,0.36,3.56,67.3,0.42,-34,0.303
64.2,5,0.16,22.6,76,0.24,3.33,64.2,0.45,-36,0.303
65.6,9,0.16,22.8,79,0.31,3.47,65.6,0.44,-27,0.303
66.5,12,0.17,21.9,68,0.18,3.39,66.5,0.40,-24,0.303
72.8,7,0.16,24.2,85,0.38,4.22,72.8,0.43,-32,0.303
67.4,9,0.17,22,72,0.28,3.48,67.4,0.40,-29,0.303
69.4,10,0.16,24.4,82,0.31,3.94,69.4,0.43,-36,0.303
70.2,3,0.15,25.2,86,0.32,4.13,70.2,0.48,-42,0.303
72.4,14,0.16,23.3,78,0.29,4.07,72.4,0.40,-28,0.303
71.4,7,0.15,24.2,81,0.28,4.28,71.4,0.42,-31,0.303
70.8,12,0.16,23.5,79,0.30,3.95,70.8,0.41,-27,0.303
70,5,0.15,23.8,85,0.39,4.17,70,0.43,-34,0.303
70.8,10,0.16,23.4,82,0.36,3.94,70.8,0.42,-28,0.303
80.3,12,0.15,27.3,82,0.33,5.41,80.3,0.41,-33,0.303
67.7,12,0.16,22.4,75,0.26,3.56,67.7,0.42,-29,0.303
75,10,0.16,24.2,91,0.41,4.54,75,0.47,-41,0.303
74.7,9,0.16,23.7,79,0.34,4.39,74.7,0.39,-32,0.303
72.1,14,0.16,22.7,75,0.20,4.19,72.1,0.39,-30,0.303
74.4,13,0.16,23.6,78,0.32,4.41,74.4,0.38,-28,0.303
75.1,9,0.16,23.6,79,0.33,4.5,75.1,0.39,-38,0.303
73.1,10,0.16,24.8,84,0.31,4.31,73.1,0.43,-39,0.303
66.7,11,0.16,24.2,80,0.23,3.59,66.7,0.48,-39,0.303
79.5,10,0.16,24.7,90,0.38,5.04,79.5,0.45,-39,0.303
66.2,11,0.16,22.7,71,0.15,3.41,66.2,0.42,-31,0.303
67.4,8,0.16,23.3,78,0.24,3.67,67.4,0.43,-34,0.303
69.3,5,0.16,22.6,79,0.35,3.78,69.3,0.41,-32,0.303
75,10,0.14,25.1,94,0.51,5.21,75,0.45,-44,0.34
70.1,14,0.14,21,92,0.46,4.42,70.1,0.46,-36,0.34
72.4,11,0.14,25.9,89,0.52,4.72,72.4,0.53,-42,0.34
76.2,12,0.14,24.9,96,0.55,5.29,76.2,0.45,-36,0.34
81,19,0.15,28.6,88,0.57,5.74,81,0.43,-32,0.34
74.7,9,0.14,24.6,97,0.56,5.17,74.7,0.46,-44,0.34
73.4,13,0.14,24,97,0.56,4.99,73.4,0.50,-48,0.34
71,16,0.15,23.3,97,0.65,4.41,71,0.49,-41,0.34
71,12,0.14,21.8,98,0.57,4.54,71,0.47,-43,0.34
66.9,13,0.15,20.3,96,0.57,3.87,66.9,0.47,-45,0.34
70.3,15,0.15,21.7,98,0.60,4.21,70.3,0.45,-39,0.34
66.9,3,0.15,21.2,91,0.68,3.81,66.9,0.44,-48,0.34
72.8,20,0.16,22.1,87,0.65,4.29,72.8,0.42,-34,0.34
72,7,0.14,21.8,85,0.46,4.79,72,0.41,-39,0.34
74.4,10,0.14,23.8,84,0.50,4.98,74.4,0.39,-40,0.34
71.8,8,0.15,21.5,83,0.45,4.58,71.8,0.40,-45,0.34
76.6,14,0.14,24.8,85,0.43,5.36,76.6,0.41,-30,0.34
74.8,20,0.15,23.2,76,0.42,4.9,74.8,0.40,-26,0.34
75.9,18,0.15,23.7,79,0.44,5.04,75.9,0.40,-30,0.34
73,10,0.14,22.3,86,0.43,4.86,73,0.42,-34,0.34
75.1,20,0.14,24.4,82,0.48,5.07,75.1,0.42,-31,0.34
70.9,19,0.15,21.9,84,0.43,4.46,70.9,0.44,-32,0.34
75.3,20,0.15,24.3,85,0.57,4.83,75.3,0.41,-28,0.34
69.3,11,0.14,21.7,95,0.52,4.38,69.3,0.45,-40,0.34
75.9,11,0.14,23.6,86,0.48,5.18,75.9,0.41,-36,0.34
77.1,12,0.14,25.4,88,0.51,5.43,77.1,0.42,-35,0.34
74,10,0.15,22.7,91,0.51,4.86,74,0.44,-40,0.34
76.9,18,0.15,25.9,90,0.51,5.25,76.9,0.47,-30,0.34
75.3,18,0.14,27,93,0.55,5.25,75.3,0.48,-35,0.34
68.1,13,0.15,21.6,100,0.69,4.06,68.1,0.48,-47,0.34
66.1,15,0.16,19.6,86,0.56,3.59,66.1,0.43,-32,0.34
73.9,13,0.14,26.3,100,0.65,5.13,73.9,0.49,-40,0.34
68.2,22,0.16,19.7,79,0.55,3.72,68.2,0.41,-33,0.34
70.2,9,0.14,23.8,92,0.47,4.7,70.2,0.46,-37,0.34
74.4,5,0.14,23,87,0.51,4.98,74.4,0.41,-41,0.34
75.5,9,0.14,25.4,86,0.55,5.44,75.5,0.39,-36,0.34
71.4,13,0.14,23.4,93,0.49,4.59,71.4,0.46,-39,0.34
67.2,4,0.17,19,71,0.19,3.4,67.2,0.43,-16,0.34
66.9,-1,0.17,18.7,69,0.27,3.45,66.9,0.43,-22,0.34
67.9,4,0.18,19.9,67,0.22,3.28,67.9,0.41,-24,0.34
74.5,9,0.15,24.2,95,0.53,4.92,74.5,0.45,-39,0.34
73.4,13,0.14,23.6,89,0.55,4.84,73.4,0.41,-34,0.34
78.8,19,0.15,24,85,0.53,5.29,78.8,0.42,-24,0.34
71.9,15,0.15,24.1,92,0.49,4.58,71.9,0.50,-38,0.34
73.2,13,0.15,25.6,97,0.55,4.63,73.2,0.50,-35,0.34
76.3,15,0.15,25.8,98,0.72,5.17,76.3,0.46,-36,0.34
73.9,15,0.15,24.5,98,0.73,4.85,73.9,0.48,-38,0.34
75.8,15,0.15,25.1,99,0.73,5.09,75.8,0.47,-46,0.34
72.5,16,0.15,24,98,0.75,4.42,72.5,0.47,-45,0.34
70.6,10,0.15,25.1,100,0.73,4.42,70.6,0.49,-50,0.34
72.6,13,0.16,21.2,84,0.39,4.22,72.6,0.42,-37,0.414
72.2,16,0.16,20.2,85,0.37,4.12,72.2,0.44,-29,0.414
76,15,0.16,22.2,87,0.45,4.62,76,0.43,-19,0.414
72.5,10,0.15,21.3,88,0.36,4.48,72.5,0.44,-37,0.414
72.1,10,0.15,21.6,85,0.45,4.43,72.1,0.42,-30,0.414
71.5,15,0.16,21,82,0.35,4.14,71.5,0.42,-37,0.414
73,14,0.16,21.2,86,0.38,4.31,73,0.44,-41,0.414
77.2,16,0.16,22.7,84,0.46,4.83,77.2,0.42,-36,0.414
71.1,20,0.15,19.8,84,0.44,4.25,71.1,0.44,-25,0.414
70.4,14,0.15,20.9,95,0.52,4.28,70.4,0.45,-40,0.414
73.3,9,0.16,22.4,90,0.39,4.35,73.3,0.47,-26,0.414
62.7,-13,0.13,21.8,82,0.47,3.86,62.7,0.48,-29,0.414
70.5,11,0.15,21.2,89,0.36,4.3,70.5,0.47,-26,0.414
70.4,14,0.16,20.2,88,0.33,3.97,70.4,0.46,-38,0.414
73.9,16,0.14,20.8,81,0.32,4.91,74.1,0.43,-37,0.414
70.9,10,0.15,21.1,86,0.38,4.46,70.9,0.44,-36,0.414
78.5,9,0.14,24.7,83,0.49,5.62,78.5,0.38,-30,0.414
74,9,0.15,22.2,85,0.49,4.74,74,0.40,-33,0.414
82.2,17,0.15,25.6,73,0.30,5.68,82.2,0.36,-33,0.414
72.9,10,0.15,21.7,98,0.61,4.53,72.9,0.45,-28,0.414
73.7,7,0.16,22.5,86,0.49,4.39,73.7,0.41,-32,0.414
69.3,7,0.15,21.5,93,0.50,4.15,69.3,0.50,-21,0.414
72.2,12,0.16,22.1,92,0.44,4.28,72.2,0.48,-34,0.414
72,13,0.16,19.7,87,0.43,4.26,72,0.43,-33,0.414
73.3,6,0.15,24.2,93,0.49,4.53,73.3,0.49,-30,0.414
60.3,-3,0.13,22.6,79,0.46,3.51,60.3,0.45,-26,0.414
70.6,7,0.15,21.2,83,0.44,4.3,71,0.40,-45,0.414
74.7,15,0.16,21.8,83,0.43,4.58,74.7,0.41,-45,0.414
75.3,12,0.16,23.8,96,0.55,4.65,75.3,0.46,-45,0.414
73.8,10,0.16,22.3,93,0.58,4.52,73.8,0.42,-40,0.414
71.2,7,0.15,21.4,91,0.44,4.38,71.2,0.50,-42,0.414
71.7,13,0.16,21.8,92,0.45,4.16,71.7,0.46,-30,0.414
75.3,10,0.16,23.4,94,0.51,4.66,75.3,0.49,-33,0.414
70.5,7,0.15,22.1,93,0.48,4.3,70.5,0.48,-40,0.414
73,8,0.15,22.3,92,0.46,4.55,73,0.49,-35,0.414
70.7,12,0.15,21.2,88,0.32,4.2,70.7,0.48,-33,0.414
70.8,11,0.14,20.6,83,0.51,4.57,71.2,0.38,-29,0.414
70.9,8,0.13,22.9,95,0.58,4.86,70.9,0.44,-40,0.414
71.9,9,0.15,22.2,86,0.53,4.35,71.9,0.39,-46,0.414
70.7,8,0.14,23.4,96,0.62,4.63,70.7,0.43,-35,0.414
79,9,0.16,25.3,86,0.51,5.18,79,0.41,-23,0.414
68.7,6,0.15,20.3,87,0.43,4.03,68.7,0.43,-41,0.414
72.3,15,0.16,20.5,87,0.38,4.29,72.3,0.44,-35,0.414
73.1,14,0.15,22.7,86,0.46,4.49,73.1,0.42,-23,0.414
73.2,9,0.15,24.2,93,0.47,4.56,73.2,0.47,-32,0.414
69.4,11,0.15,20.3,93,0.48,4.05,69.4,0.46,-30,0.414
74,9,0.15,23.4,93,0.49,4.61,74,0.46,-31,0.414
71.3,10,0.15,22,91,0.43,4.28,71.3,0.48,-30,0.414
74.3,11,0.16,24.6,89,0.35,4.58,74.3,0.45,-24,0.414
68.4,15,0.17,19.5,79,0.32,3.65,68.4,0.43,-32,0.414
66.7,-1,0.16,19,77,0.34,3.56,66.7,0.45,-28,0.33
64.9,-2,0.16,18.2,72,0.28,3.37,64.9,0.45,-20,0.33
68,7,0.18,18,67,0.20,3.25,68,0.41,-8,0.33
67.8,1,0.17,19.7,67,0.23,3.47,67.8,0.41,-32,0.33
66.8,0,0.17,18.9,66,0.29,3.49,67,0.41,-23,0.33
66.2,3,0.18,18.3,64,0.25,3.15,66.2,0.40,-14,0.33
69.2,6,0.18,20.5,70,0.27,3.41,69.2,0.40,-25,0.33
66.4,0,0.17,18.9,69,0.32,3.33,66.4,0.43,-29,0.33
66.5,0,0.17,19.6,64,0.29,3.33,66.5,0.40,-25,0.33
66.5,3,0.17,19.3,71,0.30,3.41,66.5,0.42,-24,0.33
67.4,2,0.18,20.6,64,0.23,3.23,67.4,0.40,-23,0.33
67.2,1,0.18,20.2,74,0.32,3.25,67.2,0.45,-22,0.33
67.8,4,0.19,20.2,62,0.19,3.2,67.8,0.37,-14,0.33
68.4,1,0.19,23,63,0.27,3.2,68.4,0.40,-30,0.33
