Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Fallwoba
69.1,2,0.18,20.6,66,0.25,3.47,69.1,0.40,-28,0.33
68.2,-2,0.19,21.9,60,0.26,3.24,68.2,0.38,-31,0.33
68.9,2,0.17,19.3,68,0.25,3.53,68.9,0.40,-19,0.33
69.4,5,0.18,20.5,68,0.20,3.5,69.4,0.40,-31,0.33
66.1,4,0.17,19.3,67,0.22,3.37,66.1,0.41,-20,0.33
67.9,5,0.18,21,69,0.22,3.29,67.9,0.42,-22,0.33
67,2,0.18,19.8,63,0.20,3.31,67,0.40,-24,0.33
66.7,2,0.18,18.9,75,0.32,3.27,66.7,0.48,-29,0.33
67.5,1,0.19,20.9,61,0.25,3.11,67.5,0.40,-16,0.33
68.9,1,0.18,21.1,75,0.33,3.49,68.9,0.44,-26,0.33
65.7,7,0.19,20.4,67,0.23,2.97,65.7,0.42,-35,0.33
65,1,0.17,19,71,0.35,3.26,65,0.44,-20,0.33
66.9,4,0.18,20,75,0.30,3.3,66.9,0.45,-20,0.33
70.6,17,0.15,20.4,80,0.33,4.25,70.6,0.42,-35,0.33
77.1,13,0.15,23.5,84,0.49,5.01,77.1,0.40,-30,0.33
71.3,7,0.16,21.7,89,0.41,4.11,71.3,0.44,-46,0.33
66,2,0.17,18.8,75,0.25,3.4,66,0.45,-23,0.33
66.6,4,0.18,18.5,68,0.20,3.27,66.6,0.43,-21,0.33
68.7,1,0.19,21.9,63,0.31,3.16,68.7,0.39,-28,0.33
67,3,0.18,19.4,62,0.22,3.16,67,0.38,-14,0.33
65.8,4,0.16,18.5,77,0.24,3.47,65.8,0.46,-27,0.33
67.9,4,0.18,20.1,72,0.25,3.39,67.9,0.42,-20,0.33
66.4,1,0.17,19,69,0.27,3.28,66.4,0.43,-25,0.33
66.4,0,0.17,18.8,74,0.30,3.37,66.4,0.46,-26,0.33
64.4,6,0.18,18.2,73,0.22,3.02,64.4,0.45,-13,0.33
65.9,3,0.18,19.3,68,0.28,3.13,65.9,0.43,-21,0.33
69.4,8,0.18,20.9,69,0.17,3.46,69.4,0.40,-24,0.33
67.5,2,0.18,19.9,74,0.31,3.35,67.5,0.44,-23,0.33
68.3,5,0.18,19.9,75,0.33,3.36,68.3,0.43,-30,0.33
67.8,1,0.18,19.2,71,0.30,3.38,67.8,0.43,-29,0.33
65.9,3,0.17,18.6,71,0.25,3.27,65.9,0.44,-12,0.33
66.6,6,0.17,19,72,0.17,3.3,66.6,0.43,-24,0.33
67.5,5,0.17,19.3,76,0.30,3.4,67.5,0.44,-29,0.33
67.1,1,0.17,19.2,78,0.34,3.52,67.1,0.46,-29,0.33
66.3,6,0.19,19.1,68,0.26,3.06,66.3,0.42,-16,0.33
66.5,5,0.19,20.9,70,0.27,3.08,66.5,0.44,-23,0.33
69.6,9,0.16,20.6,83,0.45,4.02,69.6,0.40,-30,0.309
69.7,15,0.16,21.9,79,0.23,3.94,69.7,0.43,-21,0.309
70.2,7,0.15,23,88,0.33,4.32,70.2,0.45,-32,0.309
69.5,11,0.15,22.6,90,0.37,4.12,69.5,0.47,-22,0.309
66.9,8,0.16,21.7,81,0.37,3.71,66.9,0.42,-27,0.309
67.4,11,0.15,22.5,88,0.35,3.87,67.4,0.48,-28,0.309
67.5,6,0.15,21.2,89,0.35,3.94,67.5,0.46,-36,0.309
70,14,0.16,21.2,86,0.34,4.02,70,0.44,-24,0.309
64.5,10,0.16,20.2,72,0.32,3.37,64.5,0.41,-27,0.309
66.5,9,0.16,21.3,80,0.33,3.67,66.5,0.43,-36,0.309
68,12,0.16,20.8,82,0.47,3.75,68,0.41,-28,0.309
70,12,0.15,23.4,92,0.46,4.23,70,0.46,-32,0.309
71.8,13,0.16,24.2,89,0.45,4.17,71.8,0.44,-41,0.309
66.1,8,0.15,22.2,87,0.40,3.67,66.1,0.47,-35,0.309
71.2,6,0.15,23.4,92,0.47,4.45,71.2,0.46,-42,0.309
69.3,10,0.15,22.8,91,0.41,4.05,69.3,0.46,-27,0.309
69,11,0.15,22.2,91,0.41,4.07,69,0.45,-23,0.309
65.9,11,0.16,20.5,85,0.38,3.61,65.9,0.46,-28,0.309
64.7,10,0.16,19.9,85,0.43,3.48,64.7,0.45,-25,0.309
66,10,0.16,21.2,79,0.40,3.62,66,0.42,-37,0.309
69.9,11,0.16,22.2,87,0.38,4.01,69.9,0.44,-27,0.309
68.3,9,0.15,22.8,89,0.41,3.97,68.3,0.45,-27,0.309
67.5,5,0.15,22.2,87,0.38,3.88,67.5,0.46,-33,0.309
64.2,3,0.15,21.3,79,0.40,3.61,64.2,0.44,-36,0.309
67.3,10,0.15,22.1,88,0.40,3.81,67.3,0.47,-30,0.309
71,9,0.15,22.9,85,0.33,4.42,71,0.44,-35,0.309
69.3,5,0.15,22.9,87,0.44,4.14,69.3,0.43,-30,0.309
73.1,10,0.15,23.3,85,0.44,4.49,73.1,0.41,-31,0.309
63.4,7,0.15,21.5,85,0.46,3.39,63.4,0.46,-31,0.309
65.8,9,0.15,21.5,95,0.63,3.65,65.8,0.47,-33,0.309
71.7,7,0.14,23.9,93,0.49,4.7,71.7,0.47,-37,0.309
63.4,5,0.15,22.2,88,0.51,3.52,63.4,0.49,-30,0.309
70.6,8,0.14,24.2,92,0.46,4.55,70.6,0.48,-33,0.309
70.6,8,0.15,23.5,88,0.39,4.25,70.6,0.44,-44,0.309
70.9,15,0.15,22.9,90,0.42,4.28,70.9,0.47,-36,0.309
72.2,12,0.15,23.5,90,0.48,4.39,72.2,0.44,-35,0.309
69.1,12,0.15,22.5,91,0.40,4.02,69.1,0.46,-29,0.309
65,2,0.14,22.7,87,0.49,3.8,65,0.46,-33,0.309
71,6,0.15,24,91,0.44,4.47,71,0.45,-45,0.309
67,10,0.15,22.8,89,0.39,3.93,67,0.47,-32,0.309
68.9,6,0.15,22,88,0.45,4.16,68.9,0.44,-38,0.309
71,10,0.15,22.9,90,0.48,4.36,71,0.44,-31,0.309
70.3,17,0.15,22.7,88,0.42,4.22,70.3,0.46,-24,0.309
73.6,8,0.14,24.7,89,0.46,4.88,73.6,0.44,-39,0.309
73.9,10,0.15,25.7,94,0.51,4.78,73.9,0.45,-29,0.309
70.3,9,0.15,23.9,92,0.45,4.32,70.3,0.46,-27,0.309
67.8,6,0.15,23.3,93,0.48,4.08,67.8,0.46,-41,0.309
69.9,8,0.15,23.1,94,0.51,4.28,69.9,0.46,-34,0.309
69.6,8,0.15,22.6,89,0.48,4.18,69.6,0.44,-38,0.309
69.3,8,0.15,22.7,85,0.44,4.04,69.3,0.42,-36,0.309
71.4,5,0.13,22,97,0.58,5.01,71.4,0.50,-32,0.58
69.4,5,0.13,22.4,99,0.62,4.66,69.4,0.49,-31,0.58
71.5,7,0.13,22,100,0.65,5.02,71.5,0.48,-38,0.58
58.9,-2,0.13,20.7,74,0.59,3.4,58.9,0.58,-18,0.58
67.3,8,0.13,23.1,91,0.42,4.51,67.3,0.50,-36,0.58
68.7,2,0.13,24.1,82,0.53,4.85,68.7,0.56,-25,0.58
66.4,4,0.12,23,83,0.48,4.61,66.4,0.54,-28,0.58
65.4,6,0.13,23.4,88,0.46,4.33,65.4,0.52,-34,0.58
67.5,8,0.14,22.3,88,0.42,4.34,67.5,0.51,-28,0.58
67.8,11,0.13,22.7,93,0.47,4.45,67.8,0.49,-34,0.58
71.5,6,0.13,22.6,88,0.33,5.02,71.5,0.49,-28,0.58
67,11,0.14,20.8,88,0.30,4.21,67,0.50,-27,0.58
71.4,8,0.13,23.4,89,0.35,5.01,71.4,0.48,-31,0.58
72.2,2,0.13,23.7,86,0.48,5.37,72.2,0.51,-33,0.58
70.9,2,0.13,23.1,87,0.50,5.1,70.9,0.51,-32,0.58
69.1,3,0.13,22.4,86,0.52,4.83,69.1,0.53,-27,0.58
66.3,3,0.13,22.3,85,0.51,4.38,66.3,0.53,-30,0.58
73.2,7,0.13,24,94,0.51,5.35,73.2,0.48,-36,0.58
76.8,12,0.13,23.9,93,0.49,5.7,76.8,0.46,-29,0.58
74.5,9,0.13,23.8,95,0.52,5.53,74.5,0.47,-34,0.58
66.9,8,0.13,20.4,100,0.63,4.4,66.9,0.49,-30,0.58
69.2,11,0.13,20.4,97,0.56,4.7,69.2,0.46,-35,0.58
68.4,12,0.13,22.6,98,0.57,4.81,68.4,0.49,-36,0.58
66.3,5,0.13,21.9,89,0.50,4.31,66.3,0.51,-22,0.58
71.3,3,0.13,23,88,0.44,5.14,71.3,0.50,-35,0.58
73.7,6,0.13,24,92,0.45,5.58,73.7,0.49,-26,0.58
65.9,10,0.14,20.9,92,0.46,4.14,65.9,0.49,-17,0.58
73.8,4,0.13,22.8,90,0.45,5.43,73.8,0.47,-27,0.58
75.6,4,0.13,23.6,90,0.48,5.87,75.6,0.46,-33,0.58
70.6,7,0.14,22,91,0.43,4.61,70.6,0.46,-28,0.58
70.3,4,0.12,23.4,91,0.51,5.43,71.2,0.48,-41,0.58
68.5,5,0.13,21.2,96,0.56,4.53,68.5,0.50,-34,0.58
71.2,9,0.14,21.3,95,0.53,4.83,71.2,0.48,-34,0.58
72,6,0.13,22.4,97,0.58,5.24,72,0.44,-42,0.58
71.4,6,0.13,22.3,98,0.57,5.16,71.4,0.47,-41,0.58
69.1,3,0.13,21.5,96,0.58,4.84,69.1,0.49,-36,0.58
73.1,7,0.13,22.5,94,0.51,5.17,73.1,0.45,-44,0.58
69.5,4,0.13,21.6,94,0.54,4.74,69.5,0.49,-32,0.58
69.7,5,0.13,21.3,94,0.51,4.7,69.7,0.48,-37,0.58
68.2,2,0.12,21.5,92,0.53,5.02,68.2,0.47,-40,0.58
68.7,6,0.13,22.5,99,0.61,4.7,68.7,0.50,-30,0.58
67.6,9,0.13,21.3,88,0.50,4.49,67.6,0.53,-27,0.58
65.2,9,0.14,19.2,91,0.49,3.99,65.2,0.51,-27,0.58
69.6,5,0.13,22.8,91,0.46,4.98,69.6,0.47,-42,0.58
71.3,8,0.12,22.9,92,0.46,5.4,71.3,0.50,-43,0.58
68.4,7,0.12,23.5,91,0.41,4.97,68.4,0.49,-42,0.58
70.3,4,0.12,22.1,91,0.49,5.17,70.3,0.50,-38,0.58
69.7,5,0.13,20.5,93,0.51,4.85,69.7,0.47,-38,0.58
68.5,6,0.13,21.3,100,0.61,4.68,68.5,0.50,-29,0.58
72.7,7,0.13,22.8,94,0.58,5.18,72.7,0.43,-46,0.58
84,2,0.15,29.2,81,0.55,6.19,84,0.36,-38,0.431
88.5,11,0.16,32.9,84,0.53,6.45,88.5,0.36,-30,0.431
81.1,6,0.15,27.6,86,0.54,5.63,81.1,0.39,-34,0.431
80.5,13,0.16,27.4,82,0.47,5.41,80.5,0.38,-20,0.431
85.6,5,0.15,29.9,85,0.53,6.26,85.6,0.39,-35,0.431
80.1,11,0.16,28,86,0.55,5.29,80.5,0.38,-32,0.431
77.6,4,0.14,28.2,82,0.51,5.51,77.6,0.38,-26,0.431
87.5,9,0.16,32.5,81,0.50,6.38,87.5,0.34,-35,0.431
85.6,4,0.15,31.2,84,0.58,6.35,85.6,0.33,-36,0.431
82.5,7,0.16,28.5,87,0.54,5.67,82.5,0.40,-29,0.431
77.5,6,0.15,27.7,81,0.37,5.34,77.5,0.40,-36,0.431
80.5,9,0.16,26,89,0.52,5.34,80.5,0.42,-30,0.431
83.6,5,0.15,31,88,0.64,6.31,83.6,0.37,-37,0.431
78.4,2,0.14,27.7,83,0.47,5.7,78.4,0.42,-37,0.431
76.6,7,0.14,26,82,0.40,5.36,76.6,0.40,-33,0.431
80.1,7,0.14,29.4,88,0.56,5.86,80.1,0.40,-30,0.431
87.5,5,0.14,30.7,90,0.61,7,87.5,0.40,-40,0.431
77.9,10,0.15,26.9,87,0.55,5.26,77.9,0.40,-31,0.431
79.1,6,0.15,28.2,94,0.57,5.65,79.1,0.44,-38,0.431
76.8,3,0.14,28,82,0.54,5.64,76.8,0.37,-24,0.431
79.8,4,0.15,28.7,88,0.64,5.67,79.8,0.40,-29,0.431
71.2,10,0.16,24.6,88,0.44,4.23,71.2,0.44,-27,0.431
76.7,11,0.14,28.1,77,0.38,5.38,78,0.36,-21,0.431
79.3,3,0.14,29.3,86,0.64,5.76,79.3,0.38,-30,0.431
72.6,4,0.15,25.4,91,0.48,4.63,72.6,0.47,-43,0.431
77.7,4,0.14,27.1,87,0.55,5.6,77.7,0.41,-30,0.431
79.6,10,0.15,27.5,81,0.51,5.56,79.6,0.31,-25,0.431
74.5,3,0.15,27,91,0.55,5.01,75,0.44,-44,0.431
82.8,8,0.15,29.5,83,0.53,6.03,82.8,0.36,-35,0.431
81.4,9,0.16,28.2,87,0.56,5.6,81.4,0.38,-29,0.431
86.5,12,0.15,30.2,82,0.50,6.4,86.5,0.35,-33,0.431
80.7,9,0.15,27.3,84,0.51,5.56,80.7,0.38,-34,0.431
79.9,8,0.15,29.3,86,0.53,5.68,79.9,0.39,-35,0.431
78,11,0.15,27,87,0.56,5.27,78,0.39,-39,0.431
82.4,1,0.14,27.4,82,0.57,6.21,82.4,0.36,-36,0.431
72.8,2,0.15,25.8,70,0.26,4.78,72.8,0.33,-29,0.431
88.4,-2,0.14,32.7,78,0.76,7.25,89.5,0.23,-29,0.431
82.7,10,0.15,28.9,87,0.59,5.85,82.7,0.35,-33,0.431
76.8,11,0.15,26.2,88,0.40,5.18,76.8,0.44,-26,0.431
84.7,13,0.15,30.1,84,0.56,6.13,84.7,0.29,-25,0.431
78.5,9,0.15,27.3,83,0.41,5.34,78.5,0.41,-33,0.431
82.7,9,0.15,29.5,87,0.68,6.01,82.7,0.31,-32,0.431
78,9,0.15,27.3,92,0.63,5.28,78,0.41,-35,0.431
81.4,8,0.14,29.3,85,0.59,6.07,83.3,0.33,-28,0.431
75.6,9,0.16,27.3,95,0.53,4.83,75.6,0.46,-30,0.431
85.9,11,0.16,30.5,84,0.55,6.07,85.9,0.34,-22,0.431
79.5,10,0.16,27.6,86,0.54,5.27,79.5,0.39,-27,0.431
78.6,5,0.16,27.3,83,0.49,5.21,78.6,0.39,-29,0.431
80.8,5,0.15,28.8,85,0.57,5.73,80.8,0.36,-29,0.431
81.8,7,0.15,28.2,82,0.51,5.96,81.8,0.35,-26,0.431
67.7,-6,0.15,24.8,87,0.51,3.95,67.7,0.48,-26,0.17
59.5,-12,0.15,22.4,75,0.53,3.09,59.5,0.47,-27,0.17
61.3,-15,0.14,23.9,75,0.61,3.38,61.3,0.54,-21,0.17
67.7,-9,0.15,23.9,85,0.50,3.95,67.7,0.48,-28,0.17
64.5,-11,0.14,23.2,85,0.54,3.79,64.5,0.49,-27,0.17
67.5,-8,0.15,24.3,87,0.54,3.92,67.5,0.49,-23,0.17
74.6,4,0.16,25.6,91,0.48,4.43,74.6,0.45,-17,0.17
65.4,-15,0.15,23.4,78,0.52,3.59,65.4,0.43,-29,0.17
65.1,-14,0.14,24.7,82,0.51,3.75,65.1,0.50,-24,0.17
61.7,-7,0.16,23.1,78,0.59,2.96,61.7,0.50,-16,0.17
63.9,-6,0.15,24.1,85,0.57,3.51,63.9,0.50,-17,0.17
65.6,2,0.14,22,87,0.50,3.81,65.6,0.50,-50,0.17
68.8,4,0.15,22.9,91,0.50,3.97,68.8,0.48,-41,0.17
66.5,3,0.15,22.7,78,0.42,3.86,66.5,0.54,-41,0.17
67.9,7,0.15,23.6,87,0.49,3.98,67.9,0.52,-36,0.17
68.1,-3,0.14,23.1,80,0.51,4.35,68.1,0.54,-45,0.17
65.3,8,0.16,22.5,85,0.43,3.48,65.3,0.49,-39,0.17
67,10,0.16,21.6,84,0.41,3.67,67,0.51,-40,0.17
69.7,19,0.16,22,83,0.39,3.77,69.7,0.48,-25,0.17
73.8,14,0.15,24.7,91,0.41,4.57,73.8,0.50,-39,0.17
71.6,10,0.15,22.6,90,0.45,4.24,71.6,0.51,-37,0.17
71.1,10,0.15,23.9,91,0.51,4.24,71.1,0.51,-36,0.17
70.1,15,0.16,22.2,90,0.45,3.86,70.1,0.47,-34,0.17
68.8,1,0.15,23.1,85,0.53,4.13,68.8,0.53,-35,0.17
68.7,13,0.15,21.7,90,0.39,3.95,68.7,0.49,-38,0.17
68.1,-1,0.14,23.2,83,0.46,4.17,68.1,0.51,-48,0.17
65.9,-1,0.14,22.7,81,0.44,3.85,65.9,0.51,-46,0.17
64.4,14,0.16,20.9,79,0.35,3.22,64.4,0.50,-36,0.17
65.5,9,0.15,20.7,83,0.40,3.55,65.5,0.51,-41,0.17
62.3,11,0.17,20.2,72,0.28,2.91,62.3,0.45,-42,0.17
65.3,15,0.16,20.7,72,0.40,3.36,65.3,0.55,-31,0.17
65.2,9,0.16,21.7,78,0.35,3.39,65.2,0.43,-45,0.17
66.2,9,0.15,20.7,88,0.50,3.63,66.2,0.50,-30,0.17
63.8,8,0.16,21.3,74,0.29,3.25,63.8,0.44,-46,0.17
65.2,11,0.16,21.7,80,0.31,3.43,65.2,0.50,-44,0.17
68.2,7,0.15,22.1,91,0.42,3.95,68.2,0.49,-42,0.17
71.8,21,0.16,22.6,79,0.40,4.05,71.8,0.43,-28,0.17
64.8,27,0.17,19.9,70,0.34,3.11,64.8,0.48,-22,0.17
66.3,15,0.16,20.9,80,0.33,3.46,66.3,0.49,-42,0.17
68.5,20,0.16,20.9,74,0.38,3.73,68.5,0.54,-35,0.17
69.7,16,0.16,21.5,85,0.43,3.82,69.7,0.51,-31,0.17
66.6,24,0.16,20.2,73,0.30,3.45,66.6,0.49,-29,0.17
66.1,10,0.15,21.3,80,0.43,3.62,66.1,0.53,-40,0.17
62.7,11,0.16,20.8,70,0.25,3.06,62.7,0.43,-49,0.17
65.9,21,0.17,20.7,68,0.34,3.22,65.9,0.52,-36,0.17
68.3,20,0.17,20.8,80,0.42,3.58,68.3,0.47,-33,0.17
64.9,16,0.17,20.9,79,0.45,3.13,64.9,0.48,-37,0.17
65,-11,0.16,21.3,73,0.57,3.3,65,0.41,-13,0.17
58.8,-27,0.13,22.5,81,0.68,3.27,58.8,0.47,-4,0.17
65.7,-9,0.16,21.7,66,0.45,3.28,65.7,0.40,-8,0.17
56.8,-16,0.14,20.4,75,0.58,2.84,56.8,0.46,-9,0.238
59.2,-6,0.14,19.3,73,0.56,3,59.2,0.52,-42,0.238
67.7,13,0.15,20.8,87,0.40,3.72,67.7,0.47,-43,0.238
64.5,-7,0.15,20.7,74,0.43,3.47,64.5,0.44,-19,0.238
69.1,2,0.15,20.2,87,0.46,3.92,69.1,0.45,-31,0.238
61.1,-8,0.14,20.2,80,0.59,3.33,61.1,0.51,-38,0.238
54.7,-29,0.12,21.2,69,0.71,2.97,54.7,0.54,-18,0.238
63.4,2,0.16,20.3,72,0.45,3.14,63.4,0.43,-36,0.238
70,3,0.16,21.3,86,0.57,3.68,70,0.42,-35,0.238
70,1,0.16,21.3,86,0.49,3.82,70,0.46,-29,0.238
71.1,2,0.16,21.4,93,0.61,3.99,71.1,0.44,-37,0.238
70.3,9,0.16,20.8,86,0.46,3.76,70.3,0.43,-31,0.238
66.1,2,0.15,20.9,80,0.36,3.55,66.1,0.45,-28,0.238
60.9,-4,0.15,20.7,70,0.37,3.01,60.9,0.50,-29,0.238
59.9,-5,0.15,19.7,79,0.59,2.98,59.9,0.49,-27,0.238
62.1,9,0.16,20.1,80,0.51,2.94,62.1,0.47,-16,0.238
59.4,-16,0.14,21.8,81,0.62,3.19,59.4,0.49,-26,0.238
65.9,-2,0.15,21.3,78,0.49,3.57,65.9,0.44,-35,0.238
63.7,7,0.15,21,76,0.25,3.25,63.7,0.47,-32,0.238
67.1,8,0.17,20.9,74,0.39,3.3,67.1,0.41,-29,0.238
67.1,3,0.16,21.5,80,0.54,3.38,67.1,0.43,-40,0.238
70,9,0.16,21.4,85,0.54,3.73,70,0.41,-36,0.238
66.4,-5,0.15,21.8,80,0.49,3.62,66.4,0.45,-37,0.238
65.3,8,0.17,20.7,80,0.44,3.05,65.3,0.48,-21,0.238
62.2,-20,0.13,22.2,85,0.59,3.61,62.2,0.49,-28,0.238
65.7,2,0.15,21.7,82,0.41,3.59,65.7,0.48,-29,0.238
66.1,3,0.16,21.1,81,0.44,3.41,66.1,0.47,-30,0.238
70,9,0.15,19,92,0.45,3.97,70,0.46,-23,0.238
61.5,-15,0.14,20.5,81,0.58,3.33,61.5,0.48,-28,0.238
66.2,6,0.17,20.4,80,0.41,3.26,66.2,0.45,-28,0.238
66.1,-3,0.15,21.8,80,0.45,3.55,66.1,0.48,-42,0.238
64.9,2,0.16,21.3,77,0.45,3.17,64.9,0.48,-41,0.238
65.1,8,0.17,21.2,79,0.39,3.07,65.1,0.46,-27,0.238
62.7,10,0.16,20.7,79,0.46,3.07,63.7,0.46,-26,0.238
68.8,9,0.17,21.6,89,0.53,3.52,68.8,0.46,-29,0.238
64.8,-8,0.15,20.7,77,0.49,3.36,64.8,0.45,-33,0.238
69.8,6,0.16,22,86,0.34,3.84,69.8,0.45,-29,0.238
64.2,5,0.16,20.1,80,0.43,3.21,64.2,0.48,-22,0.238
70.6,3,0.16,21.8,88,0.48,3.84,70.6,0.46,-38,0.238
67.1,8,0.16,21.7,84,0.40,3.43,67.1,0.47,-28,0.238
66.7,10,0.17,20.1,78,0.39,3.3,66.7,0.43,-19,0.238
61.7,-12,0.14,21.5,81,0.54,3.45,61.7,0.49,-23,0.238
68.8,4,0.17,20.6,77,0.47,3.47,68.8,0.41,-25,0.238
64.9,11,0.16,20.7,76,0.26,3.28,64.9,0.45,-29,0.238
66.3,7,0.16,21.8,81,0.34,3.35,66.3,0.45,-32,0.238
65.1,-4,0.15,21,82,0.52,3.53,65.1,0.49,-30,0.238
69.9,7,0.16,21.8,94,0.58,3.82,69.9,0.44,-30,0.238
63.4,2,0.16,20.3,72,0.45,3.14,63.4,0.43,-36,0.238
70,3,0.16,21.3,86,0.57,3.68,70,0.42,-35,0.238
70,1,0.16,21.3,86,0.49,3.82,70,0.46,-29,0.238
73.9,12,0.13,25.1,92,0.44,5.36,73.9,0.49,-23,0.675
79.2,11,0.13,25.5,96,0.55,6.06,79.2,0.46,-28,0.675
72.3,0,0.12,25.1,89,0.52,5.46,72.3,0.49,-34,0.675
74.8,12,0.13,24.9,90,0.50,5.4,74.8,0.44,-16,0.675
71.9,0,0.12,24.8,87,0.47,5.4,71.9,0.48,-38,0.675
79.5,5,0.12,26.9,94,0.54,6.95,79.5,0.47,-29,0.675
72.4,-4,0.12,24.2,86,0.47,5.47,72.4,0.48,-38,0.675
76.4,-1,0.11,24.4,84,0.49,6.65,76.8,0.44,-40,0.675
70.7,8,0.12,22.9,93,0.47,5.13,70.7,0.48,-19,0.675
74.4,8,0.13,25,91,0.41,5.51,74.4,0.49,-19,0.675
86.6,2,0.14,27.2,92,0.55,6.92,86.6,0.43,-16,0.675
76.3,2,0.12,24.5,86,0.48,5.99,76.3,0.44,-45,0.675
72.3,-2,0.12,22.8,90,0.54,5.55,72.3,0.48,-36,0.675
72.9,-1,0.12,23.3,89,0.53,5.55,72.9,0.48,-34,0.675
80.8,8,0.13,24.9,98,0.57,6.61,80.8,0.46,-34,0.675
78.2,6,0.11,26.8,93,0.50,6.84,78.2,0.47,-25,0.675
66.1,5,0.12,23.7,90,0.47,4.8,66.1,0.50,-28,0.675
72.5,1,0.11,26.4,88,0.57,5.87,72.5,0.52,-28,0.675
73.8,8,0.12,24.9,90,0.41,5.78,74.6,0.47,-37,0.675
72.5,14,0.13,25.2,93,0.47,5.23,72.5,0.49,-35,0.675
73.4,12,0.13,25.7,91,0.41,5.46,73.4,0.50,-24,0.675
73.1,-8,0.12,24.9,88,0.54,5.68,73.1,0.45,-40,0.675
72.7,-10,0.11,24.3,89,0.56,6.02,72.7,0.46,-37,0.675
80.4,-2,0.12,26.1,89,0.55,6.98,80.4,0.45,-33,0.675
81,1,0.12,26.6,90,0.52,6.98,81,0.46,-36,0.675
77.8,8,0.13,26.2,96,0.54,6.13,77.8,0.47,-22,0.675
74.3,-6,0.12,24.8,90,0.56,5.86,74.3,0.45,-40,0.675
80,1,0.11,26.9,90,0.52,7.16,80,0.47,-40,0.675
78.5,2,0.12,24.8,90,0.51,6.34,78.5,0.47,-41,0.675
76.8,2,0.12,24.4,90,0.54,6.07,76.8,0.46,-37,0.675
74.1,6,0.12,24.6,87,0.50,5.92,74.1,0.46,-42,0.675
71.6,4,0.12,24.3,90,0.47,5.44,71.6,0.48,-36,0.675
67.9,-6,0.12,23.9,83,0.41,4.74,67.9,0.48,-38,0.675
