Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Fallwoba
74.1,12,0.13,23.4,94,0.51,5.22,74.1,0.46,-35,0.675
74.1,3,0.12,24.5,91,0.51,6.04,74.1,0.48,-40,0.675
72.8,5,0.12,24,92,0.47,5.45,72.8,0.46,-32,0.675
71.2,-4,0.12,24.3,86,0.48,5.47,71.2,0.48,-45,0.675
76.9,15,0.13,23.6,96,0.54,5.71,76.9,0.48,-19,0.675
75,-1,0.12,23.9,88,0.50,5.97,75,0.47,-40,0.675
74.7,1,0.12,24,91,0.55,5.93,74.7,0.46,-40,0.675
78.5,7,0.12,26.5,97,0.56,6.44,78.5,0.46,-36,0.675
74,19,0.14,22.3,87,0.45,4.91,74,0.48,-14,0.675
74.9,4,0.12,24.6,92,0.51,5.76,74.9,0.45,-50,0.675
72.5,7,0.13,23.6,94,0.50,5.23,72.5,0.50,-36,0.675
75.2,13,0.12,23.9,92,0.46,5.81,75.2,0.49,-31,0.675
72.2,12,0.13,22.7,91,0.49,5.11,72.2,0.51,-26,0.675
73.2,7,0.13,24.3,94,0.50,5.42,73.2,0.47,-40,0.675
72.5,14,0.13,23.3,92,0.46,5,72.5,0.50,-24,0.675
75.1,3,0.12,24.2,96,0.63,5.99,75.1,0.45,-48,0.675
75.5,17,0.13,22.9,94,0.56,5.59,75.5,0.46,-32,0.675
70.3,19,0.15,22.7,80,0.44,4.2,70.3,0.42,-38,0.37
73.4,13,0.14,22.6,89,0.48,4.9,73.4,0.44,-41,0.37
65.4,19,0.14,20.3,76,0.13,3.9,66.9,0.47,-19,0.37
65.3,12,0.15,20.1,79,0.21,3.67,65.9,0.45,-17,0.37
70.4,16,0.16,20.2,85,0.30,4.06,70.4,0.45,-17,0.37
67.3,14,0.15,21.7,95,0.54,3.96,67.3,0.49,-38,0.37
65.2,10,0.15,21.9,92,0.58,3.52,65.2,0.48,-27,0.37
64.2,13,0.16,22.2,88,0.56,3.29,64.2,0.47,-30,0.37
61.6,14,0.15,23.5,84,0.60,3.31,61.6,0.54,-43,0.37
68.5,14,0.15,23.1,90,0.50,3.99,68.5,0.44,-25,0.37
66.3,17,0.16,20.8,74,0.43,3.46,66.3,0.41,-18,0.37
71.6,13,0.14,22.9,92,0.45,4.61,71.6,0.46,-39,0.37
67.6,13,0.16,21.2,90,0.48,3.73,67.6,0.45,-20,0.37
67.8,15,0.15,22.4,92,0.53,4.01,67.8,0.44,-35,0.37
66.9,10,0.15,21.4,91,0.48,3.86,66.9,0.45,-32,0.37
64.9,14,0.16,22.3,83,0.37,3.44,64.9,0.45,-34,0.37
70.8,14,0.15,21.9,90,0.40,4.37,70.8,0.45,-22,0.37
73.4,11,0.16,21.5,84,0.42,4.4,73.4,0.41,-19,0.37
72.5,13,0.15,23,92,0.67,4.58,72.5,0.41,-43,0.37
73.1,9,0.13,21.9,100,0.63,5.09,73.1,0.49,-32,0.37
65,10,0.15,22.3,89,0.54,3.59,65,0.44,-36,0.37
67.4,13,0.15,22.6,85,0.47,3.86,67.4,0.42,-47,0.37
61.3,-4,0.14,22.6,86,0.63,3.42,61.3,0.46,-47,0.37
67.1,11,0.14,22.4,98,0.58,4.16,67.1,0.49,-39,0.37
66.4,10,0.15,23.5,95,0.66,3.65,66.4,0.46,-34,0.37
67,13,0.15,22.6,87,0.38,3.76,67,0.48,-37,0.37
69.1,11,0.15,22.8,98,0.59,3.96,69.1,0.45,-16,0.37
68.8,10,0.15,20.9,86,0.47,4.13,68.8,0.41,-29,0.37
60.4,8,0.15,23,85,0.68,3.02,60.4,0.51,-44,0.37
64.6,8,0.15,24.4,95,0.67,3.6,64.6,0.46,-58,0.37
66.5,13,0.14,24,97,0.58,3.97,66.5,0.45,-41,0.37
64.6,7,0.16,20.3,83,0.43,3.32,64.6,0.46,-12,0.37
66,7,0.15,22.4,96,0.63,3.71,66,0.48,-32,0.37
68.6,14,0.15,22.6,99,0.65,3.95,68.6,0.48,-38,0.37
63.9,15,0.15,23.2,92,0.81,3.47,63.9,0.46,-51,0.37
66.1,17,0.15,23.4,85,0.44,3.67,66.1,0.45,-33,0.37
68.7,14,0.16,22.7,87,0.58,3.85,68.7,0.40,-19,0.37
68.1,12,0.15,21.5,94,0.64,3.89,68.1,0.44,-30,0.37
72.1,14,0.15,20.7,82,0.47,4.3,72.1,0.38,-22,0.37
72.5,12,0.15,20.7,78,0.33,4.52,72.5,0.38,-20,0.37
69.9,-2,0.13,21.8,85,0.52,4.8,69.9,0.44,-39,0.37
73.9,12,0.13,21.9,85,0.49,5.19,73.9,0.40,-43,0.37
72.2,13,0.14,20.3,86,0.46,4.67,72.2,0.42,-31,0.37
65.5,8,0.15,20.1,83,0.35,3.74,65.5,0.44,-26,0.37
65.1,5,0.15,20.8,82,0.31,3.55,65.1,0.47,-26,0.37
71.8,11,0.15,21.9,91,0.41,4.38,71.8,0.46,-25,0.37
64.6,11,0.15,21.8,86,0.49,3.45,64.6,0.46,-24,0.37
70.4,14,0.14,23.4,98,0.59,4.57,70.4,0.49,-44,0.37
67.9,13,0.14,23.1,100,0.62,4.14,67.9,0.49,-38,0.37
65.3,7,0.15,23.3,95,0.63,3.62,65.3,0.46,-38,0.37
70.3,8,0.16,22.8,86,0.57,3.84,70.3,0.39,-28,0.099
69.9,11,0.15,22.3,93,0.55,4.04,69.9,0.44,-24,0.099
68.5,12,0.17,22.6,76,0.41,3.56,68.5,0.39,-32,0.099
68.5,6,0.16,22.4,79,0.43,3.74,68.5,0.40,-31,0.099
68.5,7,0.16,21.7,81,0.47,3.74,68.5,0.40,-30,0.099
67.1,9,0.16,22,77,0.45,3.54,67.1,0.39,-26,0.099
78.2,10,0.15,22.7,86,0.57,5.13,78.2,0.36,-27,0.099
74.6,-1,0.14,23.3,79,0.50,5,74.6,0.41,-33,0.099
77.9,8,0.14,23,90,0.63,5.37,77.9,0.39,-27,0.099
74.1,-1,0.14,23.2,83,0.63,4.86,74.6,0.40,-40,0.099
69.8,6,0.16,21.4,84,0.51,3.88,69.8,0.40,-34,0.099
71.8,15,0.16,22,89,0.61,4.11,72,0.38,-26,0.099
69.9,7,0.15,22.8,82,0.54,4.04,72.8,0.37,-41,0.099
70.1,8,0.17,22.3,79,0.48,3.77,70.1,0.37,-40,0.099
70.7,3,0.15,22.4,87,0.52,4.31,70.7,0.43,-38,0.099
71.2,17,0.17,22.2,75,0.48,3.76,71.2,0.35,-25,0.099
73.5,9,0.15,22.5,88,0.54,4.52,73.5,0.41,-24,0.099
59,-1,0.14,21.7,66,0.51,3.17,59,0.40,-29,0.099
66.1,26,0.16,19.9,73,0.41,3.57,66.1,0.43,-21,0.099
70.3,5,0.14,21.5,87,0.59,4.57,70.8,0.40,-27,0.099
70.3,9,0.15,22.2,95,0.55,4.14,70.3,0.45,-33,0.099
67.4,9,0.15,21.3,89,0.59,3.86,67.4,0.40,-18,0.099
71.5,3,0.15,22.2,83,0.52,4.4,71.5,0.40,-30,0.099
74.1,4,0.16,22.9,80,0.43,4.49,74.1,0.39,-35,0.099
71.8,6,0.15,22.1,81,0.52,4.33,72.9,0.36,-32,0.099
70.3,12,0.16,21.3,85,0.55,3.94,70.3,0.38,-27,0.099
75.3,7,0.15,22.7,85,0.53,4.69,75.3,0.38,-32,0.099
74.2,12,0.16,22.4,89,0.58,4.44,74.2,0.40,-24,0.099
74.4,9,0.15,22.5,86,0.55,4.58,74.4,0.38,-30,0.099
70.9,7,0.15,22.5,95,0.53,4.33,70.9,0.46,-24,0.099
73.8,16,0.17,22.9,78,0.41,3.99,73.8,0.38,-18,0.099
76.7,12,0.16,22.9,80,0.43,4.57,76.7,0.36,-23,0.099
72.3,9,0.16,22.8,80,0.42,4.11,72.3,0.36,-31,0.099
72.6,11,0.16,22.2,94,0.51,4.26,72.6,0.45,-24,0.099
71.1,6,0.16,23,83,0.47,4.03,71.2,0.40,-28,0.099
72.8,9,0.16,23.4,83,0.44,4.17,72.8,0.39,-35,0.099
72.7,10,0.17,23.3,82,0.44,4.06,72.7,0.39,-26,0.099
68.4,8,0.16,22.9,81,0.40,3.73,68.4,0.42,-36,0.099
66.7,12,0.17,22.7,72,0.38,3.34,66.7,0.39,-33,0.099
64.2,5,0.16,21.7,77,0.47,3.37,64.2,0.42,-36,0.099
71.6,6,0.16,22.7,84,0.55,4.13,73.4,0.38,-34,0.099
73.1,10,0.16,22.3,85,0.50,4.37,73.1,0.40,-32,0.099
76.5,7,0.16,23.2,85,0.53,4.61,76.5,0.39,-28,0.099
77.3,11,0.16,23.2,83,0.51,4.65,77.3,0.37,-26,0.099
71.8,7,0.17,22.1,85,0.49,3.95,71.8,0.41,-41,0.099
67.2,11,0.15,22.7,85,0.45,3.74,67.2,0.43,-24,0.099
70.2,6,0.16,22,85,0.52,3.97,70.2,0.40,-33,0.099
72.8,8,0.16,23.3,84,0.48,4.33,72.8,0.40,-28,0.099
71.5,13,0.17,23,83,0.46,3.92,71.5,0.40,-28,0.099
71.3,13,0.15,22.2,86,0.48,4.27,71.5,0.41,-26,0.099
67.4,20,0.14,21,86,0.46,4.08,67.4,0.49,-20,0.312
68.5,19,0.14,21.5,89,0.50,4.27,68.5,0.49,-39,0.312
61.4,16,0.14,19.9,83,0.49,3.33,61.4,0.48,-36,0.312
60.2,10,0.13,20.2,93,0.60,3.5,60.2,0.48,-37,0.312
64.6,16,0.13,19.5,89,0.53,3.97,64.6,0.51,-29,0.312
67,18,0.14,19.9,88,0.46,4.15,67,0.48,-25,0.312
63.7,14,0.13,20.1,89,0.48,3.98,63.7,0.51,-37,0.312
65.7,13,0.13,20.9,100,0.72,4.11,65.7,0.46,-49,0.312
64,13,0.14,21,98,0.63,3.84,64,0.49,-35,0.312
61.7,12,0.14,19.9,93,0.59,3.46,61.7,0.48,-29,0.312
63.7,11,0.14,20.7,87,0.43,3.64,63.7,0.47,-37,0.312
64.9,17,0.14,19.8,94,0.71,3.78,64.9,0.48,-34,0.312
61.9,11,0.14,19.6,94,0.61,3.54,61.9,0.46,-42,0.312
62.6,16,0.14,19.4,91,0.69,3.52,62.6,0.47,-35,0.312
62.5,9,0.14,19.8,94,0.75,3.55,62.5,0.47,-32,0.312
61.1,10,0.14,20.7,89,0.54,3.5,61.1,0.49,-33,0.312
62.5,12,0.14,19.7,90,0.64,3.51,62.5,0.51,-21,0.312
60.4,6,0.12,20.9,93,0.60,3.74,60.4,0.51,-37,0.312
64.5,13,0.13,20.4,93,0.49,4.02,64.5,0.48,-42,0.312
61.3,12,0.13,20.4,95,0.61,3.63,61.3,0.50,-38,0.312
60.4,8,0.13,20.4,94,0.64,3.52,60.4,0.49,-50,0.312
58.3,14,0.15,18.5,85,0.71,2.89,58.3,0.47,-29,0.312
59.7,13,0.15,18.6,89,0.72,3.11,59.7,0.49,-22,0.312
62.8,17,0.14,20,87,0.52,3.59,62.8,0.50,-42,0.312
63.1,16,0.13,20.4,92,0.54,3.84,63.1,0.49,-40,0.312
64.9,18,0.14,20.2,88,0.56,3.83,64.9,0.51,-30,0.312
63.6,9,0.14,21.1,92,0.53,3.74,63.6,0.48,-33,0.312
69,19,0.13,21.3,90,0.51,4.74,69,0.49,-42,0.312
67.5,20,0.13,20.5,89,0.53,4.4,67.5,0.50,-33,0.312
65.7,18,0.13,20.5,87,0.52,4.29,65.7,0.51,-41,0.312
63.8,20,0.14,18.4,89,0.57,3.76,63.8,0.48,-15,0.312
63.4,19,0.14,18.9,82,0.41,3.71,63.4,0.49,-34,0.312
69.9,23,0.13,20.5,85,0.46,4.65,69.9,0.49,-31,0.312
64.9,17,0.14,20.1,85,0.39,3.83,64.9,0.46,-40,0.312
61.2,12,0.14,19.7,87,0.53,3.31,61.2,0.47,-49,0.312
64.5,10,0.14,20,97,0.58,3.89,64.5,0.47,-48,0.312
63.3,14,0.14,19.6,95,0.67,3.65,63.3,0.48,-40,0.312
63.1,15,0.13,19.3,89,0.51,3.97,63.1,0.51,-28,0.312
66.4,16,0.13,20.4,88,0.48,4.33,66.4,0.51,-35,0.312
63,8,0.14,20.9,96,0.63,3.73,63,0.48,-33,0.312
66.9,11,0.14,20.8,96,0.71,4.08,66.9,0.44,-40,0.312
61.9,16,0.14,19,90,0.79,3.45,61.9,0.48,-32,0.312
61.7,16,0.15,18.6,88,0.76,3.23,61.7,0.47,-30,0.312
60.7,8,0.14,19.4,92,0.76,3.4,60.7,0.49,-38,0.312
64.1,8,0.15,21.1,90,0.57,3.59,64.1,0.44,-42,0.312
63.6,15,0.14,20.4,94,0.60,3.69,63.6,0.50,-25,0.312
62.4,14,0.14,20.7,90,0.51,3.65,62.4,0.49,-31,0.312
66.9,19,0.14,21.5,92,0.58,4.07,66.9,0.51,-23,0.312
66,20,0.13,19.5,89,0.53,4.28,66,0.47,-26,0.312
70.4,17,0.12,21.4,91,0.51,5.09,70.4,0.47,-41,0.312
75.1,9,0.14,24.3,89,0.61,4.96,75.1,0.38,-20,0.211
71.6,12,0.15,24.9,91,0.76,4.22,71.6,0.40,-38,0.211
72.6,11,0.15,24.9,96,0.67,4.45,72.6,0.44,-33,0.211
73.9,6,0.14,25,96,0.70,4.81,73.9,0.43,-32,0.211
72.3,16,0.15,23.4,79,0.42,4.3,72.3,0.38,-7,0.211
76.6,7,0.14,24.5,84,0.50,5.24,76.6,0.39,-17,0.211
75.7,12,0.14,23.9,89,0.63,5.19,75.7,0.37,-21,0.211
77.3,15,0.14,25.4,88,0.88,5.18,77.3,0.38,-30,0.211
71.5,13,0.15,25.7,91,0.54,4.26,71.5,0.42,-26,0.211
77,10,0.15,26.9,91,0.67,4.94,77,0.40,-19,0.211
72.3,12,0.15,23.4,81,0.47,4.29,72.3,0.36,-23,0.211
77.6,11,0.14,24.2,89,0.79,5.23,77.6,0.37,-23,0.211
69.9,9,0.14,24.7,93,0.79,4.19,69.9,0.41,-19,0.211
71.5,6,0.14,24.9,88,0.58,4.37,71.5,0.38,-15,0.211
74.5,12,0.14,23.9,87,0.74,4.75,74.9,0.35,-31,0.211
70.9,14,0.14,24.4,89,0.83,4.36,70.9,0.38,-24,0.211
74.1,8,0.14,23.9,94,0.78,4.83,74.1,0.43,-28,0.211
75.5,12,0.14,24.9,94,0.83,4.94,75.5,0.42,-26,0.211
71.9,7,0.14,24.4,90,0.62,4.48,72.2,0.40,-17,0.211
75.5,7,0.14,24.6,88,0.78,4.87,75.5,0.35,-32,0.211
73.3,10,0.14,24.3,90,0.63,4.66,73.3,0.38,-14,0.211
75.7,7,0.14,24.1,87,0.73,5.11,75.7,0.34,-29,0.211
73.6,10,0.15,24.3,88,0.93,4.57,73.6,0.36,-36,0.211
70.6,11,0.14,24.6,95,0.77,4.33,71.2,0.43,-21,0.211
75.1,13,0.14,25.5,89,0.59,4.82,75.1,0.39,-12,0.211
75.1,9,0.15,24.6,82,0.47,4.57,75.1,0.38,-10,0.211
74,14,0.14,22.9,90,0.77,4.89,74,0.39,-18,0.211
71.3,9,0.15,23.3,87,0.79,4.23,71.3,0.33,-41,0.211
75.9,12,0.14,24.6,92,0.82,4.94,75.9,0.41,-23,0.211
71.3,14,0.14,24.5,94,0.74,4.54,71.3,0.42,-28,0.211
71.8,7,0.14,23.7,85,0.83,4.47,73.3,0.35,-31,0.211
72.4,16,0.15,24.7,93,0.67,4.36,72.4,0.43,-15,0.211
61.6,10,0.15,19.9,83,0.66,3.12,61.6,0.42,-5,0.211
74.3,13,0.15,23.5,81,0.45,4.66,74.3,0.37,-24,0.211
73.6,5,0.14,24.6,83,0.49,4.7,73.6,0.39,-33,0.211
74.6,13,0.14,24.8,90,0.88,5.04,74.6,0.39,-30,0.211
69.6,12,0.14,24.1,100,0.79,4.27,69.6,0.45,-21,0.211
73.4,14,0.14,25.8,96,0.79,4.74,73.8,0.44,-18,0.211
74.7,10,0.14,24.7,94,0.77,4.84,74.7,0.42,-27,0.211
72.6,5,0.13,24.4,88,0.51,5.07,72.6,0.42,-29,0.211
73.9,10,0.14,26.6,87,0.76,4.88,75.4,0.37,-25,0.211
77.6,15,0.14,23.4,89,0.61,5.37,77.6,0.39,-22,0.211
75,11,0.14,24.1,89,0.77,4.82,75,0.37,-28,0.211
77.5,15,0.14,25.5,90,0.72,5.37,77.5,0.40,-28,0.211
71.5,13,0.14,24.6,93,0.79,4.37,71.9,0.42,-27,0.211
67.9,12,0.14,24.1,96,0.66,4.18,67.9,0.44,-21,0.211
75.5,12,0.14,24.7,94,0.59,5.16,75.5,0.43,-24,0.211
73.2,14,0.13,23.4,92,0.74,4.93,73.2,0.41,-17,0.211
75.9,12,0.14,24.2,88,0.79,5.14,75.9,0.35,-35,0.211
65.4,3,0.12,24.8,97,0.73,4.54,65.4,0.48,-21,0.211
78.6,5,0.15,27,86,0.57,5.18,78.6,0.37,-47,0.368
79.5,15,0.15,28.8,90,0.56,5.37,79.5,0.42,-44,0.368
78.9,8,0.15,28.6,94,0.60,5.44,78.9,0.42,-47,0.368
86.6,11,0.15,33.4,89,0.57,6.55,86.6,0.40,-39,0.368
85.5,18,0.17,30.5,83,0.66,5.55,85.5,0.32,-34,0.368
82.3,2,0.14,27.8,81,0.55,6.26,82.3,0.36,-50,0.368
85.4,6,0.14,33.5,89,0.70,6.65,85.4,0.37,-41,0.368
83.2,18,0.17,28.6,81,0.57,5.31,83.2,0.33,-36,0.368
81.1,5,0.15,27.8,80,0.48,5.51,81.1,0.34,-48,0.368
81.4,11,0.16,28.3,81,0.42,5.21,81.4,0.39,-39,0.368
76.4,8,0.15,26.8,86,0.52,4.96,76.4,0.40,-39,0.368
82.8,9,0.15,29,88,0.58,5.91,82.8,0.37,-46,0.368
75.8,9,0.15,25.3,93,0.62,4.95,75.8,0.42,-46,0.368
85.5,15,0.15,30.3,84,0.54,6.21,85.5,0.37,-37,0.368
83.3,18,0.14,28.4,85,0.67,6.14,83.3,0.38,-50,0.368
86.4,18,0.16,30.8,85,0.56,6.02,86.4,0.40,-43,0.368
85.3,18,0.15,30.2,82,0.53,6.1,85.3,0.38,-43,0.368
85.9,10,0.15,30.5,78,0.42,6.36,86.8,0.34,-47,0.368
80.1,7,0.15,27.7,82,0.50,5.52,80.1,0.36,-42,0.368
82.9,11,0.15,29.8,81,0.44,5.84,82.9,0.38,-38,0.368
73.6,9,0.15,26.2,87,0.52,4.72,73.6,0.40,-44,0.368
79.6,3,0.15,27.7,86,0.65,5.38,79.6,0.37,-48,0.368
70.9,2,0.14,26.3,92,0.73,4.58,70.9,0.44,-39,0.368
73.3,11,0.14,25.8,92,0.54,4.76,73.3,0.43,-43,0.368
76.7,6,0.15,27,89,0.55,5.13,76.7,0.41,-40,0.368
75,0,0.14,26.2,77,0.49,5.05,75,0.39,-35,0.368
74.3,15,0.15,27.2,84,0.42,4.69,74.3,0.42,-36,0.368
73.5,9,0.15,26.7,83,0.46,4.66,73.9,0.39,-38,0.368
77,3,0.14,28,85,0.49,5.32,77,0.43,-41,0.368
81.3,13,0.15,25.3,90,0.61,5.47,81.3,0.39,-36,0.368
79.4,4,0.15,27.2,85,0.66,5.21,79.4,0.34,-46,0.368
68.9,5,0.16,23.8,87,0.75,3.69,68.9,0.41,-51,0.368
75.3,7,0.16,25,88,0.58,4.4,75.3,0.36,-49,0.368
75.5,6,0.16,24.7,80,0.42,4.49,75.5,0.36,-44,0.368
79.7,9,0.15,28.2,84,0.51,5.47,79.7,0.39,-37,0.368
78.6,12,0.16,26.8,83,0.48,4.93,78.6,0.39,-32,0.368
79.6,9,0.15,27.7,82,0.47,5.31,79.6,0.38,-39,0.368
73.8,2,0.14,30,90,0.59,5.1,73.8,0.43,-29,0.368
73.9,3,0.14,26.3,80,0.50,4.84,74.2,0.39,-42,0.368
83.6,-2,0.13,28,87,0.78,6.64,83.6,0.42,-50,0.368
79.5,13,0.15,27.7,87,0.51,5.3,79.5,0.41,-45,0.368
66.9,2,0.15,23,93,0.68,3.8,66.9,0.46,-46,0.368
76.3,7,0.15,28.1,96,0.61,4.95,76.3,0.44,-42,0.368
76.6,4,0.15,25.4,92,0.61,4.99,76.6,0.42,-42,0.368
73.4,13,0.15,24.7,85,0.51,4.57,73.4,0.40,-41,0.368
73.5,14,0.16,23.3,84,0.48,4.3,73.5,0.40,-33,0.368
75.6,13,0.14,27.4,84,0.50,5.06,75.7,0.39,-37,0.368
71,8,0.16,23.6,88,0.58,4.12,71,0.37,-46,0.368
76.4,4,0.14,26,88,0.62,5.48,76.4,0.40,-47,0.368
75.1,9,0.14,26.9,91,0.60,5.13,75.1,0.40,-29,0.368
78.3,0,0.13,26,86,0.76,5.92,78.3,0.41,-32,0.384
80.2,-2,0.13,28.9,84,0.70,6.21,80.2,0.40,-32,0.384
76,-4,0.13,28.4,87,0.72,5.75,76,0.42,-28,0.384
79.8,1,0.13,27.9,87,0.73,6.15,79.8,0.41,-27,0.384
75.3,3,0.14,28,91,0.64,5.32,75.3,0.42,-29,0.384
75.5,-8,0.13,30.1,86,0.72,5.68,75.5,0.42,-29,0.384
77.2,-5,0.13,31.5,85,0.64,5.76,77.2,0.41,-24,0.384
83.8,5,0.14,30,87,0.55,6.31,83.8,0.40,-30,0.384
79.5,1,0.14,29.1,93,0.59,5.93,79.5,0.45,-28,0.384
87,2,0.14,32.3,87,0.63,7.09,87,0.40,-40,0.384
83.9,4,0.13,30.4,91,0.65,6.79,83.9,0.42,-36,0.384
77.4,5,0.14,28.3,98,0.64,5.37,77.4,0.45,-29,0.384
79,-1,0.13,28.8,86,0.76,5.93,79,0.41,-33,0.384
86,0,0.14,32.4,83,0.65,6.73,86,0.38,-22,0.384
80.1,-5,0.13,28.2,89,0.71,6.2,80.1,0.44,-37,0.384
79.3,1,0.13,29.7,90,0.67,5.98,79.3,0.43,-25,0.384
78.5,-2,0.13,27.1,85,0.80,5.86,78.5,0.41,-28,0.384
83.1,2,0.14,29.7,86,0.72,6.38,83.1,0.39,-31,0.384
82.2,5,0.14,29.2,89,0.66,6.33,82.2,0.40,-32,0.384
75.5,-8,0.13,30.2,89,0.75,5.76,75.5,0.44,-38,0.384
72.9,5,0.14,25.1,90,0.52,4.77,72.9,0.44,-29,0.384
72.4,-8,0.13,25.9,92,0.63,5.13,72.4,0.46,-43,0.384
79.2,-1,0.13,28.8,89,0.66,5.96,79.2,0.43,-36,0.384
76.9,3,0.14,27.7,94,0.61,5.39,76.9,0.44,-37,0.384
82.3,-9,0.12,29.8,86,0.77,6.96,82.3,0.42,-37,0.384
80.1,-1,0.13,28.1,87,0.71,6.19,80.1,0.42,-24,0.384
81.3,4,0.13,29.9,90,0.89,6.39,81.3,0.41,-37,0.384
80.4,-4,0.13,29.7,88,0.77,6.24,80.4,0.43,-38,0.384
84.2,-1,0.13,30.1,87,0.76,7.06,84.2,0.42,-35,0.384
73.8,3,0.15,28.3,87,0.58,4.57,73.8,0.41,-37,0.384
77.9,5,0.14,27.8,94,0.71,5.53,77.9,0.43,-29,0.384
74.4,-8,0.13,27.8,92,0.73,5.42,74.4,0.46,-43,0.384
77.8,-11,0.13,27.5,85,0.72,5.93,77.8,0.42,-41,0.384
79.2,2,0.13,27.6,90,0.64,5.97,79.2,0.43,-40,0.384
80.3,5,0.14,26.7,92,0.71,6.05,80.3,0.42,-44,0.384
74,0,0.14,27.9,94,0.64,5.13,74,0.48,-41,0.384
73.4,-1,0.14,27.8,93,0.64,5.04,73.4,0.47,-34,0.384
76.2,1,0.14,27.6,95,0.65,5.29,76.2,0.46,-28,0.384
75.1,3,0.15,26.1,86,0.64,4.73,75.1,0.38,-34,0.384
76,1,0.15,27.6,91,0.64,4.91,76,0.43,-39,0.384
80.5,14,0.15,26.9,88,0.48,5.51,80.5,0.43,-28,0.384
82.2,-3,0.13,29,86,0.69,6.52,82.2,0.41,-43,0.384
80.7,2,0.14,28.7,91,0.71,6.02,80.7,0.43,-36,0.384
83.1,1,0.14,29.4,89,0.71,6.47,83.1,0.42,-38,0.384
74.2,3,0.14,25.8,95,0.59,5.08,74.2,0.46,-47,0.384
80.2,-1,0.14,27.2,88,0.60,5.78,80.2,0.42,-46,0.384
78.4,-1,0.13,29,88,0.71,5.93,78.4,0.43,-36,0.384
78.6,-2,0.13,27.3,88,0.64,5.88,78.6,0.42,-33,0.384
76.6,14,0.16,26.4,88,0.48,4.73,76.6,0.43,-34,0.384
79.2,8,0.16,27.2,86,0.55,5.06,79.2,0.38,-52,0.384
