Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
71.4,5,0.13,22,97,0.58,5.01,71.4,0.50,-32,0.398
69.4,5,0.13,22.4,99,0.62,4.66,69.4,0.49,-31,0.398
71.5,7,0.13,22,100,0.65,5.02,71.5,0.48,-38,0.398
58.9,-2,0.13,20.7,74,0.59,3.4,58.9,0.58,-18,0.398
67.3,8,0.13,23.1,91,0.42,4.51,67.3,0.50,-36,0.398
68.7,2,0.13,24.1,82,0.53,4.85,68.7,0.56,-25,0.398
66.4,4,0.12,23,83,0.48,4.61,66.4,0.54,-28,0.398
65.4,6,0.13,23.4,88,0.46,4.33,65.4,0.52,-34,0.398
67.5,8,0.14,22.3,88,0.42,4.34,67.5,0.51,-28,0.398
67.8,11,0.13,22.7,93,0.47,4.45,67.8,0.49,-34,0.398
71.5,6,0.13,22.6,88,0.33,5.02,71.5,0.49,-28,0.398
67,11,0.14,20.8,88,0.30,4.21,67,0.50,-27,0.398
71.4,8,0.13,23.4,89,0.35,5.01,71.4,0.48,-31,0.398
72.2,2,0.13,23.7,86,0.48,5.37,72.2,0.51,-33,0.398
70.9,2,0.13,23.1,87,0.50,5.1,70.9,0.51,-32,0.398
69.1,3,0.13,22.4,86,0.52,4.83,69.1,0.53,-27,0.398
66.3,3,0.13,22.3,85,0.51,4.38,66.3,0.53,-30,0.398
73.2,7,0.13,24,94,0.51,5.35,73.2,0.48,-36,0.398
76.8,12,0.13,23.9,93,0.49,5.7,76.8,0.46,-29,0.398
74.5,9,0.13,23.8,95,0.52,5.53,74.5,0.47,-34,0.398
66.9,8,0.13,20.4,100,0.63,4.4,66.9,0.49,-30,0.398
69.2,11,0.13,20.4,97,0.56,4.7,69.2,0.46,-35,0.398
68.4,12,0.13,22.6,98,0.57,4.81,68.4,0.49,-36,0.398
66.3,5,0.13,21.9,89,0.50,4.31,66.3,0.51,-22,0.398
71.3,3,0.13,23,88,0.44,5.14,71.3,0.50,-35,0.398
73.7,6,0.13,24,92,0.45,5.58,73.7,0.49,-26,0.398
65.9,10,0.14,20.9,92,0.46,4.14,65.9,0.49,-17,0.398
73.8,4,0.13,22.8,90,0.45,5.43,73.8,0.47,-27,0.398
75.6,4,0.13,23.6,90,0.48,5.87,75.6,0.46,-33,0.398
70.6,7,0.14,22,91,0.43,4.61,70.6,0.46,-28,0.398
70.3,4,0.12,23.4,91,0.51,5.43,71.2,0.48,-41,0.398
68.5,5,0.13,21.2,96,0.56,4.53,68.5,0.50,-34,0.398
71.2,9,0.14,21.3,95,0.53,4.83,71.2,0.48,-34,0.398
72,6,0.13,22.4,97,0.58,5.24,72,0.44,-42,0.398
71.4,6,0.13,22.3,98,0.57,5.16,71.4,0.47,-41,0.398
69.1,3,0.13,21.5,96,0.58,4.84,69.1,0.49,-36,0.398
73.1,7,0.13,22.5,94,0.51,5.17,73.1,0.45,-44,0.398
69.5,4,0.13,21.6,94,0.54,4.74,69.5,0.49,-32,0.398
69.7,5,0.13,21.3,94,0.51,4.7,69.7,0.48,-37,0.398
68.2,2,0.12,21.5,92,0.53,5.02,68.2,0.47,-40,0.398
68.7,6,0.13,22.5,99,0.61,4.7,68.7,0.50,-30,0.398
67.6,9,0.13,21.3,88,0.50,4.49,67.6,0.53,-27,0.398
65.2,9,0.14,19.2,91,0.49,3.99,65.2,0.51,-27,0.398
69.6,5,0.13,22.8,91,0.46,4.98,69.6,0.47,-42,0.398
71.3,8,0.12,22.9,92,0.46,5.4,71.3,0.50,-43,0.398
68.4,7,0.12,23.5,91,0.41,4.97,68.4,0.49,-42,0.398
70.3,4,0.12,22.1,91,0.49,5.17,70.3,0.50,-38,0.398
69.7,5,0.13,20.5,93,0.51,4.85,69.7,0.47,-38,0.398
68.5,6,0.13,21.3,100,0.61,4.68,68.5,0.50,-29,0.398
72.7,7,0.13,22.8,94,0.58,5.18,72.7,0.43,-46,0.398
66.3,8,0.16,22.3,79,0.47,3.61,66.3,0.41,-46,0.323
67.8,7,0.15,22.9,91,0.62,3.87,67.8,0.42,-46,0.323
65.8,8,0.15,22.7,88,0.63,3.79,65.8,0.40,-42,0.323
63.2,5,0.15,21.9,84,0.57,3.45,63.2,0.42,-46,0.323
66,9,0.15,22.8,83,0.52,3.81,66,0.40,-48,0.323
67.8,5,0.14,21.6,98,0.60,4.14,67.8,0.46,-44,0.323
64.9,7,0.15,22.6,94,0.62,3.64,64.9,0.45,-46,0.323
64.1,6,0.14,22.2,90,0.63,3.69,64.1,0.43,-39,0.323
66.6,7,0.15,21.8,99,0.62,3.94,66.6,0.46,-39,0.323
63.5,15,0.16,22,80,0.51,3.35,63.5,0.42,-34,0.323
71.3,5,0.15,24.2,94,0.60,4.46,71.3,0.43,-42,0.323
70.5,2,0.15,24.2,88,0.62,4.41,70.5,0.41,-48,0.323
66,7,0.15,23.7,87,0.58,3.77,66,0.40,-47,0.323
68.6,10,0.15,23.9,89,0.59,3.96,68.6,0.40,-39,0.323
69.6,7,0.15,23.4,91,0.53,4.18,69.6,0.43,-45,0.323
67.3,3,0.15,23.3,90,0.60,3.91,67.3,0.42,-46,0.323
71.5,10,0.15,22.5,89,0.50,4.3,71.5,0.43,-39,0.323
62.9,10,0.16,21,81,0.54,3.28,62.9,0.42,-37,0.323
66.4,13,0.15,22.9,83,0.53,3.75,66.4,0.40,-46,0.323
64.8,10,0.15,21.6,88,0.63,3.63,65.2,0.42,-41,0.323
71.7,4,0.14,23.5,91,0.58,4.63,71.7,0.42,-41,0.323
66.6,8,0.15,22.4,94,0.60,3.89,66.6,0.43,-41,0.323
56.4,9,0.15,22.5,79,0.76,2.75,57.8,0.44,-48,0.323
56.9,7,0.15,24,84,0.85,2.87,58.1,0.50,-55,0.323
70.1,4,0.15,22,85,0.65,4.19,70.1,0.35,-38,0.323
70.4,11,0.15,24.4,78,0.40,4.18,70.4,0.32,-31,0.323
71.4,12,0.15,22.9,80,0.33,4.35,71.4,0.40,-37,0.323
71.1,6,0.15,22.7,85,0.48,4.49,71.1,0.41,-31,0.323
67.1,8,0.15,22.7,81,0.40,3.99,67.1,0.39,-43,0.323
70.7,3,0.14,23.9,88,0.57,4.63,70.7,0.41,-46,0.323
72.8,6,0.14,23.7,85,0.53,4.84,72.8,0.37,-31,0.323
69.1,5,0.15,23.6,81,0.43,4.07,69.1,0.39,-46,0.323
67.5,3,0.15,22.9,88,0.72,3.98,67.5,0.40,-41,0.323
68.7,5,0.15,23.4,86,0.55,4.13,68.7,0.39,-37,0.323
69.4,4,0.14,22.7,91,0.56,4.39,69.4,0.43,-39,0.323
64.1,10,0.15,21.6,87,0.57,3.55,64.1,0.43,-35,0.323
62.1,7,0.15,21.9,81,0.48,3.38,62.1,0.44,-40,0.323
66.4,15,0.15,22.2,84,0.52,3.71,66.4,0.42,-39,0.323
65.1,10,0.15,22.5,90,0.65,3.71,65.1,0.42,-48,0.323
65.1,3,0.14,23.7,87,0.70,3.87,65.2,0.41,-53,0.323
65.4,5,0.15,21.1,92,0.66,3.69,65.4,0.44,-39,0.323
63.2,14,0.16,21.4,83,0.62,3.23,63.2,0.42,-43,0.323
61,7,0.16,22,82,0.61,3.09,61,0.42,-42,0.323
68.4,3,0.15,22.9,89,0.53,4.1,68.4,0.44,-36,0.323
69.8,6,0.15,23.6,91,0.64,4.16,69.8,0.40,-41,0.323
67.7,1,0.15,23.7,88,0.60,4.01,67.7,0.41,-46,0.323
72,4,0.15,23.9,90,0.59,4.61,72,0.41,-46,0.323
66.5,9,0.15,23.4,88,0.60,3.82,66.5,0.39,-41,0.323
63.9,-1,0.14,22.1,84,0.59,3.73,63.9,0.42,-41,0.323
65,7,0.15,22.3,81,0.49,3.7,65,0.40,-42,0.323
70.3,19,0.15,22.7,80,0.44,4.2,70.3,0.42,-38,0.349
73.4,13,0.14,22.6,89,0.48,4.9,73.4,0.44,-41,0.349
65.4,19,0.14,20.3,76,0.13,3.9,66.9,0.47,-19,0.349
65.3,12,0.15,20.1,79,0.21,3.67,65.9,0.45,-17,0.349
70.4,16,0.16,20.2,85,0.30,4.06,70.4,0.45,-17,0.349
67.3,14,0.15,21.7,95,0.54,3.96,67.3,0.49,-38,0.349
65.2,10,0.15,21.9,92,0.58,3.52,65.2,0.48,-27,0.349
64.2,13,0.16,22.2,88,0.56,3.29,64.2,0.47,-30,0.349
61.6,14,0.15,23.5,84,0.60,3.31,61.6,0.54,-43,0.349
68.5,14,0.15,23.1,90,0.50,3.99,68.5,0.44,-25,0.349
66.3,17,0.16,20.8,74,0.43,3.46,66.3,0.41,-18,0.349
71.6,13,0.14,22.9,92,0.45,4.61,71.6,0.46,-39,0.349
67.6,13,0.16,21.2,90,0.48,3.73,67.6,0.45,-20,0.349
67.8,15,0.15,22.4,92,0.53,4.01,67.8,0.44,-35,0.349
66.9,10,0.15,21.4,91,0.48,3.86,66.9,0.45,-32,0.349
64.9,14,0.16,22.3,83,0.37,3.44,64.9,0.45,-34,0.349
70.8,14,0.15,21.9,90,0.40,4.37,70.8,0.45,-22,0.349
73.4,11,0.16,21.5,84,0.42,4.4,73.4,0.41,-19,0.349
72.5,13,0.15,23,92,0.67,4.58,72.5,0.41,-43,0.349
73.1,9,0.13,21.9,100,0.63,5.09,73.1,0.49,-32,0.349
65,10,0.15,22.3,89,0.54,3.59,65,0.44,-36,0.349
67.4,13,0.15,22.6,85,0.47,3.86,67.4,0.42,-47,0.349
61.3,-4,0.14,22.6,86,0.63,3.42,61.3,0.46,-47,0.349
67.1,11,0.14,22.4,98,0.58,4.16,67.1,0.49,-39,0.349
66.4,10,0.15,23.5,95,0.66,3.65,66.4,0.46,-34,0.349
67,13,0.15,22.6,87,0.38,3.76,67,0.48,-37,0.349
69.1,11,0.15,22.8,98,0.59,3.96,69.1,0.45,-16,0.349
68.8,10,0.15,20.9,86,0.47,4.13,68.8,0.41,-29,0.349
60.4,8,0.15,23,85,0.68,3.02,60.4,0.51,-44,0.349
64.6,8,0.15,24.4,95,0.67,3.6,64.6,0.46,-58,0.349
66.5,13,0.14,24,97,0.58,3.97,66.5,0.45,-41,0.349
64.6,7,0.16,20.3,83,0.43,3.32,64.6,0.46,-12,0.349
66,7,0.15,22.4,96,0.63,3.71,66,0.48,-32,0.349
68.6,14,0.15,22.6,99,0.65,3.95,68.6,0.48,-38,0.349
63.9,15,0.15,23.2,92,0.81,3.47,63.9,0.46,-51,0.349
66.1,17,0.15,23.4,85,0.44,3.67,66.1,0.45,-33,0.349
68.7,14,0.16,22.7,87,0.58,3.85,68.7,0.40,-19,0.349
68.1,12,0.15,21.5,94,0.64,3.89,68.1,0.44,-30,0.349
72.1,14,0.15,20.7,82,0.47,4.3,72.1,0.38,-22,0.349
72.5,12,0.15,20.7,78,0.33,4.52,72.5,0.38,-20,0.349
69.9,-2,0.13,21.8,85,0.52,4.8,69.9,0.44,-39,0.349
73.9,12,0.13,21.9,85,0.49,5.19,73.9,0.40,-43,0.349
72.2,13,0.14,20.3,86,0.46,4.67,72.2,0.42,-31,0.349
65.5,8,0.15,20.1,83,0.35,3.74,65.5,0.44,-26,0.349
65.1,5,0.15,20.8,82,0.31,3.55,65.1,0.47,-26,0.349
71.8,11,0.15,21.9,91,0.41,4.38,71.8,0.46,-25,0.349
64.6,11,0.15,21.8,86,0.49,3.45,64.6,0.46,-24,0.349
70.4,14,0.14,23.4,98,0.59,4.57,70.4,0.49,-44,0.349
67.9,13,0.14,23.1,100,0.62,4.14,67.9,0.49,-38,0.349
65.3,7,0.15,23.3,95,0.63,3.62,65.3,0.46,-38,0.349
74.6,11,0.13,25.7,93,0.49,5.37,74.6,0.48,-36,0.411
71.4,16,0.14,26.5,87,0.36,4.64,71.4,0.50,-35,0.411
77.7,13,0.14,27.4,93,0.48,5.42,77.7,0.46,-24,0.411
77.8,11,0.15,27,82,0.44,5.28,77.8,0.38,-39,0.411
79.4,12,0.14,28.5,89,0.52,5.83,79.4,0.42,-31,0.411
80.3,14,0.14,27,84,0.47,5.79,80.3,0.41,-27,0.411
75.2,18,0.16,25.2,86,0.44,4.51,75.2,0.44,-16,0.411
75.3,15,0.14,22.6,91,0.46,5.24,75.3,0.46,-29,0.411
72.6,16,0.14,27.2,87,0.35,4.8,72.6,0.46,-22,0.411
76.2,12,0.14,26.4,99,0.59,5.45,76.2,0.47,-26,0.411
65.6,8,0.14,25.7,90,0.72,3.81,68,0.43,-25,0.411
71.3,15,0.14,30.1,97,0.62,4.69,72.3,0.50,-34,0.411
71.3,12,0.14,26.5,85,0.47,4.77,71.3,0.54,-31,0.411
82.7,19,0.14,25.2,79,0.25,6.05,82.7,0.44,-27,0.411
75.8,14,0.13,28.2,81,0.34,5.46,76.6,0.42,-37,0.411
77.7,15,0.14,27.6,85,0.51,5.58,77.7,0.41,-25,0.411
73.6,13,0.13,27.5,91,0.41,5.4,73.6,0.48,-34,0.411
79.8,17,0.14,27.5,79,0.29,5.64,79.8,0.43,-12,0.411
88.1,11,0.14,31.4,81,0.43,7.27,88.1,0.37,-24,0.411
82.5,13,0.14,28.3,88,0.49,6.2,82.5,0.42,-36,0.411
77.3,11,0.13,25.4,88,0.33,5.85,77.3,0.47,-16,0.411
74.5,11,0.14,25.3,81,0.26,4.92,74.5,0.43,-26,0.411
78.3,10,0.14,27.5,93,0.48,5.74,78.3,0.47,-31,0.411
72.8,15,0.13,27.1,87,0.33,5.04,72.8,0.47,-25,0.411
74.9,15,0.13,28.8,88,0.48,5.34,74.9,0.44,-29,0.411
70.6,16,0.14,24.4,86,0.43,4.47,70.6,0.44,-36,0.411
79.1,16,0.14,26.6,91,0.49,5.86,79.1,0.46,-25,0.411
71.2,13,0.14,25.4,97,0.58,4.69,71.2,0.45,-42,0.411
79.1,14,0.14,29.3,96,0.59,5.78,79.1,0.44,-25,0.411
76.2,11,0.14,25.4,99,0.59,5.21,76.2,0.47,-28,0.411
70.4,8,0.16,23.1,84,0.34,3.85,70.4,0.44,-28,0.411
78.4,15,0.15,28.3,92,0.48,5.37,78.4,0.49,-30,0.411
74.9,15,0.14,27.2,96,0.56,5.03,74.9,0.47,-32,0.411
71.3,12,0.13,28.9,85,0.31,4.91,71.3,0.51,-28,0.411
76.6,11,0.13,29.3,98,0.60,5.58,76.6,0.45,-30,0.411
82.7,16,0.14,29.7,89,0.50,6.22,82.7,0.44,-19,0.411
81.4,18,0.15,29.2,87,0.48,5.79,81.4,0.44,-17,0.411
80.5,13,0.14,32.4,90,0.59,5.99,81.1,0.41,-24,0.411
68.3,14,0.15,23.7,87,0.50,3.91,68.3,0.52,-22,0.411
75.1,15,0.13,29.7,96,0.57,5.36,75.1,0.47,-40,0.411
68.9,4,0.13,28.2,88,0.37,4.51,68.9,0.49,-27,0.411
74.2,10,0.14,26.9,85,0.36,4.94,74.2,0.43,-22,0.411
73.9,9,0.14,27.5,87,0.38,4.9,73.9,0.44,-37,0.411
76.9,14,0.14,22.8,88,0.40,5.38,76.9,0.44,-34,0.411
71.1,12,0.14,24.8,98,0.58,4.53,71.1,0.46,-27,0.411
80.4,13,0.14,29.9,92,0.47,5.97,80.4,0.45,-28,0.411
83.3,14,0.14,28.6,81,0.38,6.41,83.3,0.39,-32,0.411
81.6,11,0.14,30.1,92,0.55,6.06,81.6,0.43,-33,0.411
78,11,0.14,30.5,96,0.59,5.71,78,0.44,-36,0.411
74.6,20,0.15,23.9,84,0.46,4.67,74.6,0.44,-37,0.411
66.7,-1,0.16,19,77,0.34,3.56,66.7,0.45,-28,0.161
64.9,-2,0.16,18.2,72,0.28,3.37,64.9,0.45,-20,0.161
68,7,0.18,18,67,0.20,3.25,68,0.41,-8,0.161
67.8,1,0.17,19.7,67,0.23,3.47,67.8,0.41,-32,0.161
66.8,0,0.17,18.9,66,0.29,3.49,67,0.41,-23,0.161
66.2,3,0.18,18.3,64,0.25,3.15,66.2,0.40,-14,0.161
69.2,6,0.18,20.5,70,0.27,3.41,69.2,0.40,-25,0.161
66.4,0,0.17,18.9,69,0.32,3.33,66.4,0.43,-29,0.161
66.5,0,0.17,19.6,64,0.29,3.33,66.5,0.40,-25,0.161
66.5,3,0.17,19.3,71,0.30,3.41,66.5,0.42,-24,0.161
67.4,2,0.18,20.6,64,0.23,3.23,67.4,0.40,-23,0.161
67.2,1,0.18,20.2,74,0.32,3.25,67.2,0.45,-22,0.161
67.8,4,0.19,20.2,62,0.19,3.2,67.8,0.37,-14,0.161
68.4,1,0.19,23,63,0.27,3.2,68.4,0.40,-30,0.161
69.1,2,0.18,20.6,66,0.25,3.47,69.1,0.40,-28,0.161
68.2,-2,0.19,21.9,60,0.26,3.24,68.2,0.38,-31,0.161
68.9,2,0.17,19.3,68,0.25,3.53,68.9,0.40,-19,0.161
69.4,5,0.18,20.5,68,0.20,3.5,69.4,0.40,-31,0.161
66.1,4,0.17,19.3,67,0.22,3.37,66.1,0.41,-20,0.161
67.9,5,0.18,21,69,0.22,3.29,67.9,0.42,-22,0.161
67,2,0.18,19.8,63,0.20,3.31,67,0.40,-24,0.161
