Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
66.7,2,0.18,18.9,75,0.32,3.27,66.7,0.48,-29,0.161
67.5,1,0.19,20.9,61,0.25,3.11,67.5,0.40,-16,0.161
68.9,1,0.18,21.1,75,0.33,3.49,68.9,0.44,-26,0.161
65.7,7,0.19,20.4,67,0.23,2.97,65.7,0.42,-35,0.161
65,1,0.17,19,71,0.35,3.26,65,0.44,-20,0.161
66.9,4,0.18,20,75,0.30,3.3,66.9,0.45,-20,0.161
70.6,17,0.15,20.4,80,0.33,4.25,70.6,0.42,-35,0.161
77.1,13,0.15,23.5,84,0.49,5.01,77.1,0.40,-30,0.161
71.3,7,0.16,21.7,89,0.41,4.11,71.3,0.44,-46,0.161
66,2,0.17,18.8,75,0.25,3.4,66,0.45,-23,0.161
66.6,4,0.18,18.5,68,0.20,3.27,66.6,0.43,-21,0.161
68.7,1,0.19,21.9,63,0.31,3.16,68.7,0.39,-28,0.161
67,3,0.18,19.4,62,0.22,3.16,67,0.38,-14,0.161
65.8,4,0.16,18.5,77,0.24,3.47,65.8,0.46,-27,0.161
67.9,4,0.18,20.1,72,0.25,3.39,67.9,0.42,-20,0.161
66.4,1,0.17,19,69,0.27,3.28,66.4,0.43,-25,0.161
66.4,0,0.17,18.8,74,0.30,3.37,66.4,0.46,-26,0.161
64.4,6,0.18,18.2,73,0.22,3.02,64.4,0.45,-13,0.161
65.9,3,0.18,19.3,68,0.28,3.13,65.9,0.43,-21,0.161
69.4,8,0.18,20.9,69,0.17,3.46,69.4,0.40,-24,0.161
67.5,2,0.18,19.9,74,0.31,3.35,67.5,0.44,-23,0.161
68.3,5,0.18,19.9,75,0.33,3.36,68.3,0.43,-30,0.161
67.8,1,0.18,19.2,71,0.30,3.38,67.8,0.43,-29,0.161
65.9,3,0.17,18.6,71,0.25,3.27,65.9,0.44,-12,0.161
66.6,6,0.17,19,72,0.17,3.3,66.6,0.43,-24,0.161
67.5,5,0.17,19.3,76,0.30,3.4,67.5,0.44,-29,0.161
67.1,1,0.17,19.2,78,0.34,3.52,67.1,0.46,-29,0.161
66.3,6,0.19,19.1,68,0.26,3.06,66.3,0.42,-16,0.161
66.5,5,0.19,20.9,70,0.27,3.08,66.5,0.44,-23,0.161
69.6,9,0.16,20.6,83,0.45,4.02,69.6,0.40,-30,0.295
69.7,15,0.16,21.9,79,0.23,3.94,69.7,0.43,-21,0.295
70.2,7,0.15,23,88,0.33,4.32,70.2,0.45,-32,0.295
69.5,11,0.15,22.6,90,0.37,4.12,69.5,0.47,-22,0.295
66.9,8,0.16,21.7,81,0.37,3.71,66.9,0.42,-27,0.295
67.4,11,0.15,22.5,88,0.35,3.87,67.4,0.48,-28,0.295
67.5,6,0.15,21.2,89,0.35,3.94,67.5,0.46,-36,0.295
70,14,0.16,21.2,86,0.34,4.02,70,0.44,-24,0.295
64.5,10,0.16,20.2,72,0.32,3.37,64.5,0.41,-27,0.295
66.5,9,0.16,21.3,80,0.33,3.67,66.5,0.43,-36,0.295
68,12,0.16,20.8,82,0.47,3.75,68,0.41,-28,0.295
70,12,0.15,23.4,92,0.46,4.23,70,0.46,-32,0.295
71.8,13,0.16,24.2,89,0.45,4.17,71.8,0.44,-41,0.295
66.1,8,0.15,22.2,87,0.40,3.67,66.1,0.47,-35,0.295
71.2,6,0.15,23.4,92,0.47,4.45,71.2,0.46,-42,0.295
69.3,10,0.15,22.8,91,0.41,4.05,69.3,0.46,-27,0.295
69,11,0.15,22.2,91,0.41,4.07,69,0.45,-23,0.295
65.9,11,0.16,20.5,85,0.38,3.61,65.9,0.46,-28,0.295
64.7,10,0.16,19.9,85,0.43,3.48,64.7,0.45,-25,0.295
66,10,0.16,21.2,79,0.40,3.62,66,0.42,-37,0.295
69.9,11,0.16,22.2,87,0.38,4.01,69.9,0.44,-27,0.295
68.3,9,0.15,22.8,89,0.41,3.97,68.3,0.45,-27,0.295
67.5,5,0.15,22.2,87,0.38,3.88,67.5,0.46,-33,0.295
64.2,3,0.15,21.3,79,0.40,3.61,64.2,0.44,-36,0.295
67.3,10,0.15,22.1,88,0.40,3.81,67.3,0.47,-30,0.295
71,9,0.15,22.9,85,0.33,4.42,71,0.44,-35,0.295
69.3,5,0.15,22.9,87,0.44,4.14,69.3,0.43,-30,0.295
73.1,10,0.15,23.3,85,0.44,4.49,73.1,0.41,-31,0.295
63.4,7,0.15,21.5,85,0.46,3.39,63.4,0.46,-31,0.295
65.8,9,0.15,21.5,95,0.63,3.65,65.8,0.47,-33,0.295
71.7,7,0.14,23.9,93,0.49,4.7,71.7,0.47,-37,0.295
63.4,5,0.15,22.2,88,0.51,3.52,63.4,0.49,-30,0.295
70.6,8,0.14,24.2,92,0.46,4.55,70.6,0.48,-33,0.295
70.6,8,0.15,23.5,88,0.39,4.25,70.6,0.44,-44,0.295
70.9,15,0.15,22.9,90,0.42,4.28,70.9,0.47,-36,0.295
72.2,12,0.15,23.5,90,0.48,4.39,72.2,0.44,-35,0.295
69.1,12,0.15,22.5,91,0.40,4.02,69.1,0.46,-29,0.295
65,2,0.14,22.7,87,0.49,3.8,65,0.46,-33,0.295
71,6,0.15,24,91,0.44,4.47,71,0.45,-45,0.295
67,10,0.15,22.8,89,0.39,3.93,67,0.47,-32,0.295
68.9,6,0.15,22,88,0.45,4.16,68.9,0.44,-38,0.295
71,10,0.15,22.9,90,0.48,4.36,71,0.44,-31,0.295
70.3,17,0.15,22.7,88,0.42,4.22,70.3,0.46,-24,0.295
73.6,8,0.14,24.7,89,0.46,4.88,73.6,0.44,-39,0.295
73.9,10,0.15,25.7,94,0.51,4.78,73.9,0.45,-29,0.295
70.3,9,0.15,23.9,92,0.45,4.32,70.3,0.46,-27,0.295
67.8,6,0.15,23.3,93,0.48,4.08,67.8,0.46,-41,0.295
69.9,8,0.15,23.1,94,0.51,4.28,69.9,0.46,-34,0.295
69.6,8,0.15,22.6,89,0.48,4.18,69.6,0.44,-38,0.295
69.3,8,0.15,22.7,85,0.44,4.04,69.3,0.42,-36,0.295
70.2,1,0.15,21.3,83,0.31,4.39,70.2,0.46,-27,0.47
70.3,1,0.15,21.6,81,0.29,4.23,70.3,0.45,-34,0.47
66.2,1,0.15,20,80,0.30,3.8,66.2,0.47,-30,0.47
64.9,6,0.16,18.9,82,0.31,3.55,64.9,0.48,-19,0.47
68.4,2,0.15,20,84,0.33,4.22,68.4,0.46,-31,0.47
67.2,7,0.16,19.5,85,0.31,3.81,67.2,0.48,-26,0.47
70.4,5,0.16,20.7,88,0.33,4.19,70.4,0.46,-30,0.47
68,1,0.14,19.9,86,0.42,4.23,68,0.48,-28,0.47
64.8,8,0.17,18,79,0.31,3.33,64.8,0.46,-21,0.47
68.8,3,0.16,18.6,91,0.55,3.8,68.8,0.45,-26,0.47
64.1,3,0.16,19.4,69,0.12,3.3,64.1,0.44,-4,0.47
68.4,2,0.17,20.6,66,0.13,3.58,68.4,0.39,-16,0.47
65,9,0.17,18.9,67,0.08,3.19,65,0.41,-8,0.47
64,3,0.16,18.9,69,0.11,3.41,64,0.42,-4,0.47
68.3,6,0.16,20.1,83,0.11,3.89,68.3,0.46,-7,0.47
72.1,2,0.15,22.8,68,0.10,4.45,72.1,0.32,-13,0.47
69.3,6,0.16,20.2,73,0.12,4.01,69.3,0.37,-9,0.47
66.1,1,0.16,18.8,73,0.17,3.69,66.1,0.44,-14,0.47
71.5,5,0.15,21,77,0.18,4.44,71.5,0.42,-15,0.47
64,8,0.16,18.7,77,0.10,3.41,64.1,0.45,-15,0.47
68.2,13,0.17,21.1,79,0.33,3.69,68.2,0.53,-12,0.47
63.9,7,0.15,20.6,78,0.40,3.63,63.9,0.54,-22,0.47
68,9,0.16,21.4,78,0.35,3.9,68,0.56,-24,0.47
64.3,10,0.16,19.7,76,0.30,3.49,64.3,0.52,-22,0.47
67.8,13,0.15,22.3,80,0.34,3.94,67.8,0.54,-17,0.47
72.3,10,0.16,21.4,90,0.40,4.2,72.3,0.49,-27,0.47
37.7,12,0.16,21.8,43,0.47,1.17,70.5,0.52,-19,0.47
67.7,11,0.16,20.6,85,0.38,3.73,67.7,0.51,-21,0.47
63.8,9,0.16,20,81,0.32,3.43,63.8,0.49,-31,0.47
73.1,3,0.15,24,88,0.51,4.57,73.1,0.51,-34,0.47
67,8,0.15,23.4,85,0.49,3.93,67,0.41,-45,0.47
67,8,0.16,20.8,89,0.47,3.73,67,0.46,-32,0.47
67.8,7,0.15,20.6,92,0.50,3.87,67.8,0.47,-31,0.47
68.7,4,0.15,21.6,90,0.54,4.02,68.7,0.43,-35,0.47
70.4,0,0.15,20.7,94,0.61,4.4,70.4,0.46,-32,0.47
68.4,5,0.15,20.6,99,0.60,4.04,68.4,0.48,-27,0.47
68.3,10,0.15,20.2,96,0.56,3.98,68.3,0.46,-34,0.47
64.7,6,0.15,20.7,88,0.55,3.57,64.7,0.44,-40,0.47
69.6,9,0.16,20.2,95,0.52,4.03,69.6,0.47,-37,0.47
64,8,0.15,19.9,88,0.51,3.49,64,0.46,-31,0.47
68.7,10,0.15,20.5,100,0.61,4.08,68.7,0.48,-30,0.47
65,10,0.15,18.9,87,0.45,3.56,65,0.47,-29,0.47
69.6,8,0.15,20.8,94,0.51,4.18,69.6,0.49,-34,0.47
69.1,10,0.16,19.7,92,0.48,3.97,69.1,0.46,-30,0.47
67.8,9,0.15,19.8,89,0.48,3.97,67.8,0.51,-34,0.47
71.9,5,0.15,21.3,94,0.52,4.36,71.9,0.45,-37,0.47
67.8,5,0.15,21.4,81,0.43,3.86,67.8,0.40,-36,0.47
62.3,0,0.15,20.4,76,0.58,3.3,62.3,0.41,-34,0.47
66,3,0.14,20.4,95,0.74,3.92,66,0.49,-35,0.47
63.5,9,0.16,19.7,76,0.38,3.26,63.5,0.43,-36,0.47
71.1,9,0.17,24.1,89,0.40,3.84,71.1,0.46,-41,0.285
71.1,9,0.16,24.4,91,0.42,4.03,71.1,0.45,-36,0.285
72.4,5,0.16,25.2,90,0.44,4.29,72.4,0.45,-40,0.285
66.6,0,0.16,24.3,81,0.54,3.62,66.6,0.43,-36,0.285
70,5,0.16,24.8,92,0.48,4,70,0.49,-38,0.285
69.9,5,0.16,25.1,92,0.52,3.94,69.9,0.47,-34,0.285
70.5,12,0.17,23.5,82,0.39,3.81,70.5,0.42,-27,0.285
67.5,4,0.16,23.3,87,0.54,3.73,67.5,0.43,-43,0.285
67,11,0.17,23.3,87,0.51,3.45,67,0.48,-41,0.285
66.7,8,0.16,23.7,92,0.58,3.5,66.7,0.48,-29,0.285
71.4,3,0.15,24.3,87,0.41,4.27,71.4,0.45,-30,0.285
68.8,9,0.16,23,82,0.30,3.77,68.8,0.44,-34,0.285
69.7,7,0.15,22.9,88,0.34,4.02,69.7,0.45,-33,0.285
66.3,4,0.16,23,79,0.36,3.59,66.3,0.44,-30,0.285
76.3,11,0.16,24.2,89,0.33,4.7,76.3,0.45,-28,0.285
75.2,9,0.15,23.7,80,0.40,4.74,75.2,0.38,-27,0.285
69.6,5,0.16,24,80,0.42,3.96,69.6,0.40,-26,0.285
74.4,8,0.16,23.6,78,0.31,4.35,74.4,0.39,-32,0.285
80.3,11,0.15,26.5,79,0.31,5.34,80.3,0.40,-32,0.285
72.9,9,0.17,23.4,77,0.33,4.03,72.9,0.37,-23,0.285
75.2,11,0.16,24.8,87,0.35,4.51,75.2,0.44,-30,0.285
73.2,10,0.16,24.2,83,0.35,4.32,73.2,0.42,-32,0.285
68.7,8,0.16,23.8,85,0.32,3.76,68.7,0.45,-37,0.285
67.8,8,0.16,24,83,0.33,3.57,67.8,0.46,-34,0.285
67.3,7,0.16,23.4,78,0.36,3.56,67.3,0.42,-34,0.285
64.2,5,0.16,22.6,76,0.24,3.33,64.2,0.45,-36,0.285
65.6,9,0.16,22.8,79,0.31,3.47,65.6,0.44,-27,0.285
66.5,12,0.17,21.9,68,0.18,3.39,66.5,0.40,-24,0.285
72.8,7,0.16,24.2,85,0.38,4.22,72.8,0.43,-32,0.285
67.4,9,0.17,22,72,0.28,3.48,67.4,0.40,-29,0.285
69.4,10,0.16,24.4,82,0.31,3.94,69.4,0.43,-36,0.285
70.2,3,0.15,25.2,86,0.32,4.13,70.2,0.48,-42,0.285
72.4,14,0.16,23.3,78,0.29,4.07,72.4,0.40,-28,0.285
71.4,7,0.15,24.2,81,0.28,4.28,71.4,0.42,-31,0.285
70.8,12,0.16,23.5,79,0.30,3.95,70.8,0.41,-27,0.285
70,5,0.15,23.8,85,0.39,4.17,70,0.43,-34,0.285
70.8,10,0.16,23.4,82,0.36,3.94,70.8,0.42,-28,0.285
80.3,12,0.15,27.3,82,0.33,5.41,80.3,0.41,-33,0.285
67.7,12,0.16,22.4,75,0.26,3.56,67.7,0.42,-29,0.285
75,10,0.16,24.2,91,0.41,4.54,75,0.47,-41,0.285
74.7,9,0.16,23.7,79,0.34,4.39,74.7,0.39,-32,0.285
72.1,14,0.16,22.7,75,0.20,4.19,72.1,0.39,-30,0.285
74.4,13,0.16,23.6,78,0.32,4.41,74.4,0.38,-28,0.285
75.1,9,0.16,23.6,79,0.33,4.5,75.1,0.39,-38,0.285
73.1,10,0.16,24.8,84,0.31,4.31,73.1,0.43,-39,0.285
66.7,11,0.16,24.2,80,0.23,3.59,66.7,0.48,-39,0.285
79.5,10,0.16,24.7,90,0.38,5.04,79.5,0.45,-39,0.285
66.2,11,0.16,22.7,71,0.15,3.41,66.2,0.42,-31,0.285
67.4,8,0.16,23.3,78,0.24,3.67,67.4,0.43,-34,0.285
69.3,5,0.16,22.6,79,0.35,3.78,69.3,0.41,-32,0.285
67.4,20,0.14,21,86,0.46,4.08,67.4,0.49,-20,0.377
68.5,19,0.14,21.5,89,0.50,4.27,68.5,0.49,-39,0.377
61.4,16,0.14,19.9,83,0.49,3.33,61.4,0.48,-36,0.377
60.2,10,0.13,20.2,93,0.60,3.5,60.2,0.48,-37,0.377
64.6,16,0.13,19.5,89,0.53,3.97,64.6,0.51,-29,0.377
67,18,0.14,19.9,88,0.46,4.15,67,0.48,-25,0.377
63.7,14,0.13,20.1,89,0.48,3.98,63.7,0.51,-37,0.377
65.7,13,0.13,20.9,100,0.72,4.11,65.7,0.46,-49,0.377
64,13,0.14,21,98,0.63,3.84,64,0.49,-35,0.377
61.7,12,0.14,19.9,93,0.59,3.46,61.7,0.48,-29,0.377
63.7,11,0.14,20.7,87,0.43,3.64,63.7,0.47,-37,0.377
64.9,17,0.14,19.8,94,0.71,3.78,64.9,0.48,-34,0.377
61.9,11,0.14,19.6,94,0.61,3.54,61.9,0.46,-42,0.377
62.6,16,0.14,19.4,91,0.69,3.52,62.6,0.47,-35,0.377
62.5,9,0.14,19.8,94,0.75,3.55,62.5,0.47,-32,0.377
61.1,10,0.14,20.7,89,0.54,3.5,61.1,0.49,-33,0.377
62.5,12,0.14,19.7,90,0.64,3.51,62.5,0.51,-21,0.377
60.4,6,0.12,20.9,93,0.60,3.74,60.4,0.51,-37,0.377
64.5,13,0.13,20.4,93,0.49,4.02,64.5,0.48,-42,0.377
61.3,12,0.13,20.4,95,0.61,3.63,61.3,0.50,-38,0.377
60.4,8,0.13,20.4,94,0.64,3.52,60.4,0.49,-50,0.377
58.3,14,0.15,18.5,85,0.71,2.89,58.3,0.47,-29,0.377
59.7,13,0.15,18.6,89,0.72,3.11,59.7,0.49,-22,0.377
62.8,17,0.14,20,87,0.52,3.59,62.8,0.50,-42,0.377
63.1,16,0.13,20.4,92,0.54,3.84,63.1,0.49,-40,0.377
64.9,18,0.14,20.2,88,0.56,3.83,64.9,0.51,-30,0.377
63.6,9,0.14,21.1,92,0.53,3.74,63.6,0.48,-33,0.377
69,19,0.13,21.3,90,0.51,4.74,69,0.49,-42,0.377
67.5,20,0.13,20.5,89,0.53,4.4,67.5,0.50,-33,0.377
65.7,18,0.13,20.5,87,0.52,4.29,65.7,0.51,-41,0.377
63.8,20,0.14,18.4,89,0.57,3.76,63.8,0.48,-15,0.377
63.4,19,0.14,18.9,82,0.41,3.71,63.4,0.49,-34,0.377
69.9,23,0.13,20.5,85,0.46,4.65,69.9,0.49,-31,0.377
64.9,17,0.14,20.1,85,0.39,3.83,64.9,0.46,-40,0.377
61.2,12,0.14,19.7,87,0.53,3.31,61.2,0.47,-49,0.377
64.5,10,0.14,20,97,0.58,3.89,64.5,0.47,-48,0.377
63.3,14,0.14,19.6,95,0.67,3.65,63.3,0.48,-40,0.377
63.1,15,0.13,19.3,89,0.51,3.97,63.1,0.51,-28,0.377
66.4,16,0.13,20.4,88,0.48,4.33,66.4,0.51,-35,0.377
63,8,0.14,20.9,96,0.63,3.73,63,0.48,-33,0.377
66.9,11,0.14,20.8,96,0.71,4.08,66.9,0.44,-40,0.377
61.9,16,0.14,19,90,0.79,3.45,61.9,0.48,-32,0.377
61.7,16,0.15,18.6,88,0.76,3.23,61.7,0.47,-30,0.377
60.7,8,0.14,19.4,92,0.76,3.4,60.7,0.49,-38,0.377
64.1,8,0.15,21.1,90,0.57,3.59,64.1,0.44,-42,0.377
63.6,15,0.14,20.4,94,0.60,3.69,63.6,0.50,-25,0.377
62.4,14,0.14,20.7,90,0.51,3.65,62.4,0.49,-31,0.377
66.9,19,0.14,21.5,92,0.58,4.07,66.9,0.51,-23,0.377
66,20,0.13,19.5,89,0.53,4.28,66,0.47,-26,0.377
70.4,17,0.12,21.4,91,0.51,5.09,70.4,0.47,-41,0.377
